SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;
1513353116.449152;1513353116.449152;1513353116.449191;
1513353118.44945;1513353118.44945;1513353118.449491;
1513353120.44982;1513353120.44982;1513353120.44989;
1513353122.450228;1513353122.450228;1513353122.450277;
1513353124.450538;1513353124.450538;1513353124.450577;
1513353126.450832;1513353126.450832;1513353126.45087;
1513353128.451124;1513353128.451124;1513353128.451162;
1513353130.451403;1513353130.451403;1513353130.451446;
1513353132.451687;1513353132.451687;1513353132.451725;
1513353134.451975;1513353134.451975;1513353134.452012;
1513353136.452263;1513353136.452263;1513353136.4523;
1513353138.452559;1513353138.452559;1513353138.452598;
1513353140.453777;1513353140.453777;1513353140.453841;
1513353142.454176;1513353142.454176;1513353142.454245;
1513353144.454502;1513353144.454502;1513353144.45454;
1513353146.454787;1513353146.454787;1513353146.454824;
1513353148.455078;1513353148.455078;1513353148.455116;
1513353150.455377;1513353150.455377;1513353150.455414;
1513353152.45572;1513353152.45572;1513353152.455789;
1513353154.456171;1513353154.456171;1513353154.456209;
1513353156.456457;1513353156.456457;1513353156.456504;
