SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;t1;t2;t3;t4;v1;v2;v3;v4;t;s;scal;commandAcc;commandAcc2;commandV;commandV2;acctime;mindistance;maxdistance;averagedistance;desireda;mm;
1513353119.621076;1513353119.621076;1513353119.621136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353120.621105;1513353120.621105;1513353120.62117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353121.621162;1513353121.621162;1513353121.621225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353122.621377;1513353122.621377;1513353122.621413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353123.621079;1513353123.621079;1513353123.62114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353124.621115;1513353124.621115;1513353124.621176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353125.621107;1513353125.621107;1513353125.621168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353126.621097;1513353126.621097;1513353126.62116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353127.621133;1513353127.621133;1513353127.621169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353128.621174;1513353128.621174;1513353128.621218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353129.621704;1513353129.621704;1513353129.621821;6.105579481990236;12.095636;12.095636;0;11.27441315317627;2.64363046681199;11.11111111111111;11.11111111111111;12.095636;83.6847004990118;83.6847004990118;0;0;0;0;0.08165102103257915;134.4026224447912;136.3645307251967;135.383576584994;1.413589440907729;12;
1513353130.621829;1513353130.621829;1513353130.621889;5.131827764042317;11.095133;11.095133;0;9.921587318114645;2.579919704647985;11.11111111111111;11.11111111111111;11.095133;72.89968829052873;72.89968829052873;0;0;0;0;0.5947618964982331;110.4350725791215;122.9255138420294;116.6802932105754;1.430614578475966;12;
1513353131.621473;1513353131.621473;1513353131.621538;4.112438599946726;10.09559;10.09559;0;8.448362919851562;2.594771474360615;11.11111111111111;11.11111111111111;10.09559;63.70929136369419;63.70929136369419;0;0;0;0;1.331374095629775;87.06376519253823;110.4006652397082;98.73221521612322;1.423386952346663;12;
1513353132.621258;1513353132.621258;1513353132.621299;3.087500066425465;9.095606;9.095606;0;6.981893856926457;2.616717887796084;11.11111111111111;11.11111111111111;9.095606;56.05698263142699;56.056982631427;0;0;0;0;2.064608627092327;67.76716443948749;96.79968010582482;82.28342227265615;1.413822145819135;12;
1513353133.621258;1513353133.621258;1513353133.621296;2.068911943713564;8.095624000000001;8.095624000000001;0;5.523110717504565;2.602023136784604;11.11111111111111;11.11111111111111;8.095624000000001;49.7276489883389;49.72764898833891;0;0;0;0;2.794000196803273;52.51946477902391;82.14494067804105;67.33220272853248;1.411895556790492;12;
1513353134.62123;1513353134.62123;1513353134.621271;3.240384169113522;7.095623;7.095623;0;4.529215353053546;4.529215353053546;11.11111111111111;11.11111111111111;7.095623;44.82499468473512;44.82499468473512;0;0;0;0;3.290947879028782;42.9679425735639;68.00991761307151;55.48893009331771;0;1;
1513353135.621317;1513353135.621317;1513353135.621379;2.207380249839743;6.095628;6.095628;0;4.501700084462565;4.501700084462565;11.11111111111111;11.11111111111111;6.095628;40.29020285957768;40.29020285957768;0;0;0;0;3.304705513324273;38.36176761224822;56.80812147020415;47.58494454122619;0;1;
1513353136.621369;1513353136.621369;1513353136.621433;1.505224437771193;5.095571;5.095571;0;4.773329380864245;4.773329380864245;11.11111111111111;11.11111111111111;5.095571;35.70025519025398;35.70025519025398;0;0;0;0;3.168890865123433;34.36470808164253;46.57558624049281;40.47014716106767;0;1;
1513353137.621286;1513353137.621286;1513353137.621384;1.287653153479235;4.095588;4.095588;0;5.555340062513876;5.555340062513876;11.11111111111111;11.11111111111111;4.095588;30.55250565927477;30.55250565927477;0;0;0;0;2.777885524298617;30.46903208205888;37.78988534722553;34.1294587146422;0;1;
1513353138.621454;1513353138.621454;1513353138.621496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353139.621194;1513353139.621194;1513353139.621258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353140.621135;1513353140.621135;1513353140.621198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353141.620941;1513353141.620941;1513353141.620979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353142.62095;1513353142.62095;1513353142.620988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353143.620996;1513353143.620996;1513353143.621033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353144.620986;1513353144.620986;1513353144.621024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353145.621045;1513353145.621045;1513353145.621082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353146.621007;1513353146.621007;1513353146.621045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353147.620967;1513353147.620967;1513353147.621005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353148.620964;1513353148.620964;1513353148.621002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353149.621002;1513353149.621002;1513353149.621049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353150.621006;1513353150.621006;1513353150.621044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353151.621002;1513353151.621002;1513353151.62104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353152.620926;1513353152.620926;1513353152.620964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353153.620957;1513353153.620957;1513353153.620995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353154.620994;1513353154.620994;1513353154.621037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353155.62098;1513353155.62098;1513353155.621029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353156.621044;1513353156.621044;1513353156.621108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
