SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;currentLocation;intersectionLocation;errAngle;errDistance;
1513353116.419587;1513353116.419587;1513353116.419626;0;184.1933504601446;-0.2760088955818614;0;
1513353116.4296;1513353116.4296;1513353116.429647;0;184.1933504601446;-0.2760088955818614;0;
1513353116.439581;1513353116.439581;1513353116.439618;0;184.1933504601446;-0.2760088955818614;0;
1513353116.449584;1513353116.449584;1513353116.449622;0;184.1933504601446;-0.2760088955818614;0;
1513353116.459587;1513353116.459587;1513353116.459626;0;184.1933504601446;-0.2760088955818614;0;
1513353116.469579;1513353116.469579;1513353116.469624;0;184.1933504601446;-0.2760088955818614;0;
1513353116.479582;1513353116.479582;1513353116.47962;0;184.1933504601446;-0.2760088955818614;0;
1513353116.489587;1513353116.489587;1513353116.489627;0;184.1933504601446;-0.2760088955818614;0;
1513353116.499582;1513353116.499582;1513353116.499622;0;184.1933504601446;-0.2760088955818614;0;
1513353116.509579;1513353116.509579;1513353116.509619;0;184.1933504601446;-0.2760088955818614;0;
1513353116.519587;1513353116.519587;1513353116.519624;0;184.1933504601446;-0.2760088955818614;0;
1513353116.529593;1513353116.529593;1513353116.529629;0;184.1933504601446;-0.2760088955818614;0;
1513353116.539584;1513353116.539584;1513353116.539623;0;184.1933504601446;-0.2760088955818614;0;
1513353116.549577;1513353116.549577;1513353116.549614;0;184.1933504601446;-0.2760088955818614;0;
1513353116.55958;1513353116.55958;1513353116.559619;0;184.1933504601446;-0.2760088955818614;0;
1513353116.569578;1513353116.569578;1513353116.569614;0;184.1933504601446;-0.2760088955818614;0;
1513353116.579576;1513353116.579576;1513353116.579612;0;184.1933504601446;-0.2760088955818614;0;
1513353116.589577;1513353116.589577;1513353116.589614;0;184.1933504601446;-0.2760088955818614;0;
1513353116.599581;1513353116.599581;1513353116.599618;0;184.1933504601446;-0.2760088955818614;0;
1513353116.609532;1513353116.609532;1513353116.609571;0;184.1933504601446;-0.2760088955818614;0;
1513353116.619587;1513353116.619587;1513353116.619623;0;184.1933504601446;-0.2760088955818614;0;
1513353116.629559;1513353116.629559;1513353116.629595;0;184.1933504601446;-0.2760088955818614;0;
1513353116.639588;1513353116.639588;1513353116.639626;0;184.1933504601446;-0.2760088955818614;0;
1513353116.649598;1513353116.649598;1513353116.64965;0;184.1933504601446;-0.2760088955818614;0;
1513353116.659589;1513353116.659589;1513353116.659626;0;184.1933504601446;-0.2760088955818614;0;
1513353116.669579;1513353116.669579;1513353116.669615;0;184.1933504601446;-0.2760088955818614;0;
1513353116.679577;1513353116.679577;1513353116.679612;0;184.1933504601446;-0.2760088955818614;0;
1513353116.689585;1513353116.689585;1513353116.689623;0;184.1933504601446;-0.2760088955818614;0;
1513353116.699558;1513353116.699558;1513353116.699597;0;184.1933504601446;-0.2760088955818614;0;
1513353116.709673;1513353116.709673;1513353116.709709;0;184.1933504601446;-0.2760088955818614;0;
1513353116.719595;1513353116.719595;1513353116.719633;0;184.1933504601446;-0.2760088955818614;0;
1513353116.72961;1513353116.72961;1513353116.729646;0;184.1933504601446;-0.2760088955818614;0;
1513353116.739596;1513353116.739596;1513353116.739634;0;184.1933504601446;-0.2760088955818614;0;
1513353116.749594;1513353116.749594;1513353116.749632;0;184.1933504601446;-0.2760088955818614;0;
1513353116.759569;1513353116.759569;1513353116.759606;0;184.1933504601446;-0.2760088955818614;0;
1513353116.769601;1513353116.769601;1513353116.769638;0;184.1933504601446;-0.2760088955818614;0;
1513353116.779579;1513353116.779579;1513353116.779615;0;184.1933504601446;-0.2760088955818614;0;
