SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;acceleration;steering;isValid;
1513353116.417995;1513353116.417995;1513353116.418035;-0.62375;-0.320452;1;
1513353116.427977;1513353116.427977;1513353116.428016;-0.62375;-0.3250833;1;
1513353116.437977;1513353116.437977;1513353116.438015;-0.62375;-0.329622;1;
1513353116.447961;1513353116.447961;1513353116.447999;-0.62375;-0.33407;1;
1513353116.45796;1513353116.45796;1513353116.457997;-0.62375;-0.3384289;1;
1513353116.467988;1513353116.467988;1513353116.468048;-0.62375;-0.3427007;1;
1513353116.477978;1513353116.477978;1513353116.478017;-0.62375;-0.346887;1;
1513353116.487967;1513353116.487967;1513353116.488005;-0.62375;-0.3509896;1;
1513353116.497968;1513353116.497968;1513353116.498006;-0.62375;-0.3550102;1;
1513353116.507963;1513353116.507963;1513353116.507999;-0.62375;-0.3589504;1;
1513353116.517965;1513353116.517965;1513353116.518013;-0.62375;-0.3628117;1;
1513353116.527956;1513353116.527956;1513353116.527995;-0.62375;-0.3665958;1;
1513353116.537965;1513353116.537965;1513353116.538003;-0.62375;-0.3703043;1;
1513353116.547962;1513353116.547962;1513353116.547999;-0.62375;-0.3739385;1;
1513353116.557972;1513353116.557972;1513353116.558011;-0.62375;-0.3775001;1;
1513353116.567956;1513353116.567956;1513353116.567993;-0.62375;-0.3809905;1;
1513353116.577961;1513353116.577961;1513353116.577997;-0.62375;-0.384411;1;
1513353116.587964;1513353116.587964;1513353116.588003;-0.62375;-0.3877632;1;
1513353116.597962;1513353116.597962;1513353116.597999;-0.62375;-0.3910483;1;
1513353116.60798;1513353116.60798;1513353116.608044;-0.62375;-0.3942676;1;
1513353116.617976;1513353116.617976;1513353116.618012;-0.62375;-0.3974226;1;
1513353116.627966;1513353116.627966;1513353116.628003;-0.62375;-0.4005145;1;
1513353116.638035;1513353116.638035;1513353116.638073;-0.62375;-0.4035446;1;
1513353116.647963;1513353116.647963;1513353116.647999;-0.62375;-0.4065141;1;
1513353116.657963;1513353116.657963;1513353116.657999;-0.62375;-0.4094242;1;
1513353116.66796;1513353116.66796;1513353116.668018;-0.62375;-0.412276;1;
1513353116.677973;1513353116.677973;1513353116.678009;-0.62375;-0.4150709;1;
1513353116.687983;1513353116.687983;1513353116.688033;-0.62375;-0.4178098;1;
1513353116.697978;1513353116.697978;1513353116.698023;-0.62375;-0.420494;1;
1513353116.707972;1513353116.707972;1513353116.708009;-0.62375;-0.4231244;1;
1513353116.717974;1513353116.717974;1513353116.718016;-0.62375;-0.4257023;1;
1513353116.727975;1513353116.727975;1513353116.728013;-0.62375;-0.4282286;1;
1513353116.737979;1513353116.737979;1513353116.738018;-0.62375;-0.4307044;1;
1513353116.747958;1513353116.747958;1513353116.747995;-0.62375;-0.4331307;1;
1513353116.75797;1513353116.75797;1513353116.758008;-0.62375;-0.4355084;1;
1513353116.767988;1513353116.767988;1513353116.768055;-0.62375;-0.4378386;1;
1513353116.77796;1513353116.77796;1513353116.777997;-0.62375;-0.4401222;1;
1513353116.787976;1513353116.787976;1513353116.788016;-0.62375;-0.4423601;1;
1513353116.798002;1513353116.798002;1513353116.79807;-0.62375;-0.4445533;1;
1513353116.807994;1513353116.807994;1513353116.808035;-0.62375;-0.4467025;1;
1513353116.817956;1513353116.817956;1513353116.817997;-0.62375;-0.4488088;1;
1513353116.827976;1513353116.827976;1513353116.828021;-0.62375;-0.450873;1;
1513353116.837991;1513353116.837991;1513353116.838058;-0.62375;-0.4528959;1;
1513353116.84798;1513353116.84798;1513353116.848018;-0.62375;-0.4548784;1;
1513353116.857983;1513353116.857983;1513353116.858036;-0.62375;-0.4568211;1;
1513353116.867961;1513353116.867961;1513353116.867998;-0.62375;-0.4587251;1;
1513353116.877972;1513353116.877972;1513353116.878009;-0.62375;-0.4605909;1;
1513353116.887967;1513353116.887967;1513353116.888004;-0.62375;-0.4624195;1;
1513353116.897974;1513353116.897974;1513353116.898036;-0.62375;-0.4642114;1;
1513353116.907971;1513353116.907971;1513353116.908008;-0.62375;-0.4659676;1;
1513353116.917968;1513353116.917968;1513353116.918007;-0.62375;-0.4676886;1;
1513353116.927982;1513353116.927982;1513353116.928023;-0.62375;-0.4693752;1;
1513353116.937971;1513353116.937971;1513353116.938011;-0.62375;-0.471028;1;
1513353116.947973;1513353116.947973;1513353116.948011;-0.62375;-0.4726478;1;
1513353116.957974;1513353116.957974;1513353116.95802;-0.62375;-0.4742352;1;
1513353116.968063;1513353116.968063;1513353116.968099;-0.62375;-0.4757909;1;
1513353116.977964;1513353116.977964;1513353116.978001;-0.62375;-0.4773154;1;
1513353116.987969;1513353116.987969;1513353116.988006;-0.62375;-0.4788094;1;
1513353116.997959;1513353116.997959;1513353116.997996;-0.62375;-0.4802736;1;
1513353117.007955;1513353117.007955;1513353117.007991;-0.62375;-0.4817085;1;
1513353117.017959;1513353117.017959;1513353117.017996;-0.62375;-0.4831147;1;
1513353117.027969;1513353117.027969;1513353117.028005;-0.62375;-0.4844927;1;
1513353117.037994;1513353117.037994;1513353117.038041;-0.62375;-0.4858432;1;
1513353117.047928;1513353117.047928;1513353117.047967;-0.62375;-0.4871667;1;
1513353117.057964;1513353117.057964;1513353117.058002;-0.62375;-0.4884638;1;
1513353117.067972;1513353117.067972;1513353117.068009;-0.62375;-0.4897348;1;
1513353117.077971;1513353117.077971;1513353117.07801;-0.62375;-0.4909805;1;
1513353117.087966;1513353117.087966;1513353117.088002;-0.62375;-0.4922012;1;
1513353117.097968;1513353117.097968;1513353117.098005;-0.62375;-0.4933976;1;
1513353117.10797;1513353117.10797;1513353117.108007;-0.62375;-0.49457;1;
1513353117.117965;1513353117.117965;1513353117.118002;-0.62375;-0.4957189;1;
1513353117.127985;1513353117.127985;1513353117.128041;-0.62375;-0.4968449;1;
1513353117.137996;1513353117.137996;1513353117.138058;-0.62375;-0.4979483;1;
1513353117.148024;1513353117.148024;1513353117.148104;-0.62375;-0.4990298;1;
1513353117.157997;1513353117.157997;1513353117.158067;-0.62375;-0.5000895;1;
1513353117.167961;1513353117.167961;1513353117.168001;-0.62375;-0.5011281;1;
1513353117.177977;1513353117.177977;1513353117.178015;-0.62375;-0.5021459;1;
1513353117.187964;1513353117.187964;1513353117.188003;-0.62375;-0.5031433;1;
1513353117.197979;1513353117.197979;1513353117.198042;-0.62375;-0.5041208;1;
1513353117.208004;1513353117.208004;1513353117.208071;-0.62375;-0.5050787;1;
1513353117.218129;1513353117.218129;1513353117.218169;-0.62375;-0.5060175;1;
1513353117.227982;1513353117.227982;1513353117.228026;-0.62375;-0.5069375;1;
1513353117.237997;1513353117.237997;1513353117.238049;-0.62375;-0.5078391;1;
1513353117.247997;1513353117.247997;1513353117.248037;-0.62375;-0.5087227;1;
1513353117.257977;1513353117.257977;1513353117.258015;-0.62375;-0.5095886;1;
1513353117.267949;1513353117.267949;1513353117.267987;-0.62375;-0.5104372;1;
1513353117.277965;1513353117.277965;1513353117.278001;-0.62375;-0.5112688;1;
1513353117.287974;1513353117.287974;1513353117.288013;-0.62375;-0.5120838;1;
1513353117.297964;1513353117.297964;1513353117.298002;-0.62375;-0.5128825;1;
1513353117.307974;1513353117.307974;1513353117.308019;-0.62375;-0.5136651;1;
1513353117.31799;1513353117.31799;1513353117.318057;-0.62375;-0.5144322;1;
1513353117.327981;1513353117.327981;1513353117.328018;-0.62375;-0.5151839;1;
1513353117.337977;1513353117.337977;1513353117.338015;-0.62375;-0.5159206;1;
1513353117.34799;1513353117.34799;1513353117.348048;-0.62375;-0.5166426;1;
1513353117.357992;1513353117.357992;1513353117.358056;-0.62375;-0.5173501;1;
1513353117.367973;1513353117.367973;1513353117.368013;-0.62375;-0.5180434;1;
1513353117.377962;1513353117.377962;1513353117.377999;-0.62375;-0.5187229;1;
1513353117.387956;1513353117.387956;1513353117.387991;-0.62375;-0.5193888;1;
1513353117.397954;1513353117.397954;1513353117.398001;-0.62375;-0.5200414;1;
1513353117.408005;1513353117.408005;1513353117.408075;-0.62375;-0.5206809;1;
1513353117.418008;1513353117.418008;1513353117.418079;-0.62375;-0.5213076;1;
1513353117.428005;1513353117.428005;1513353117.428049;-0.62375;-0.5219219;1;
1513353117.437978;1513353117.437978;1513353117.438024;-0.62375;-0.5225238;1;
1513353117.449279;1513353117.449279;1513353117.449348;-0.62375;-0.5231137;1;
1513353117.458019;1513353117.458019;1513353117.458089;-0.62375;-0.5236917;1;
1513353117.468002;1513353117.468002;1513353117.468068;-0.62375;-0.5242583;1;
1513353117.477989;1513353117.477989;1513353117.478029;-0.62375;-0.5248134;1;
1513353117.487997;1513353117.487997;1513353117.488059;-0.62375;-0.5253575;1;
1513353117.497999;1513353117.497999;1513353117.498041;-0.62375;-0.5258907;1;
1513353117.507977;1513353117.507977;1513353117.50804;-0.62375;-0.5264133;1;
1513353117.517991;1513353117.517991;1513353117.518048;-0.62375;-0.5269254;1;
1513353117.527977;1513353117.527977;1513353117.52802;-0.62375;-0.5274272;1;
1513353117.537981;1513353117.537981;1513353117.538018;-0.62375;-0.5279191;1;
1513353117.547978;1513353117.547978;1513353117.548014;-0.62375;-0.528401;1;
1513353117.557975;1513353117.557975;1513353117.558017;-0.62375;-0.5288733;1;
1513353117.567997;1513353117.567997;1513353117.568057;-0.62375;-0.5293362;1;
1513353117.577994;1513353117.577994;1513353117.578035;-0.62375;-0.5297899;1;
1513353117.587998;1513353117.587998;1513353117.588066;-0.62375;-0.5302344;1;
1513353117.598018;1513353117.598018;1513353117.598063;-0.62375;-0.5306701;1;
1513353117.607978;1513353117.607978;1513353117.608016;-0.62375;-0.5310971;1;
1513353117.617976;1513353117.617976;1513353117.618016;-0.62375;-0.5315155;1;
1513353117.627966;1513353117.627966;1513353117.628002;-0.62375;-0.5319255;1;
1513353117.638006;1513353117.638006;1513353117.638073;-0.62375;-0.5323274;1;
1513353117.647965;1513353117.647965;1513353117.648003;-0.62375;-0.5327212;1;
1513353117.657992;1513353117.657992;1513353117.658054;-0.62375;-0.5331071;1;
1513353117.66797;1513353117.66797;1513353117.668008;-0.62375;-0.5334853;1;
1513353117.677979;1513353117.677979;1513353117.678019;-0.62375;-0.533856;1;
1513353117.687972;1513353117.687972;1513353117.688015;-0.62375;-0.5342192;1;
1513353117.697956;1513353117.697956;1513353117.697992;-0.62375;-0.5345752;1;
1513353117.707992;1513353117.707992;1513353117.708039;-0.62375;-0.534924;1;
1513353117.717969;1513353117.717969;1513353117.718035;-0.62375;-0.5352659;1;
1513353117.727989;1513353117.727989;1513353117.728051;-0.62375;-0.5356009;1;
1513353117.737993;1513353117.737993;1513353117.738056;-0.62375;-0.5359293;1;
1513353117.747999;1513353117.747999;1513353117.748062;-0.62375;-0.536251;1;
1513353117.757977;1513353117.757977;1513353117.758024;-0.62375;-0.5365664;1;
1513353117.767976;1513353117.767976;1513353117.76802;-0.62375;-0.5368754;1;
1513353117.777993;1513353117.777993;1513353117.778035;-0.62375;-0.5371782;1;
1513353117.787989;1513353117.787989;1513353117.788031;-0.62375;-0.537475;1;
1513353117.797973;1513353117.797973;1513353117.798015;-0.62375;-0.5377659;1;
1513353117.80797;1513353117.80797;1513353117.808009;-0.62375;-0.5380509;1;
1513353117.817947;1513353117.817947;1513353117.817984;-0.62375;-0.5383303;1;
1513353117.827976;1513353117.827976;1513353117.828013;-0.62375;-0.538604;1;
1513353117.837987;1513353117.837987;1513353117.838025;-0.62375;-0.5388723;1;
1513353117.847979;1513353117.847979;1513353117.848015;-0.62375;-0.5391352;1;
1513353117.857995;1513353117.857995;1513353117.858059;-0.62375;-0.5393928;1;
1513353117.867978;1513353117.867978;1513353117.868014;-0.62375;-0.5396454;1;
1513353117.877987;1513353117.877987;1513353117.87805;-0.62375;-0.5398928;1;
1513353117.888004;1513353117.888004;1513353117.888063;-0.62375;-0.5401353;1;
1513353117.897961;1513353117.897961;1513353117.898011;-0.62375;-0.540373;1;
1513353117.907998;1513353117.907998;1513353117.90806;-0.62375;-0.5406058;1;
1513353117.917972;1513353117.917972;1513353117.91801;-0.62375;-0.5408341;1;
1513353117.927991;1513353117.927991;1513353117.928028;-0.62375;-0.5410578;1;
1513353117.938001;1513353117.938001;1513353117.938068;-0.62375;-0.5412769;1;
1513353117.947983;1513353117.947983;1513353117.948044;-0.62375;-0.5414918;1;
1513353117.957978;1513353117.957978;1513353117.958017;-0.62375;-0.5417023;1;
1513353117.968107;1513353117.968107;1513353117.96817;-0.62375;-0.5419086;1;
1513353117.977981;1513353117.977981;1513353117.978019;-0.62375;-0.5421108;1;
1513353117.987976;1513353117.987976;1513353117.988013;-0.62375;-0.5423089;1;
1513353117.997977;1513353117.997977;1513353117.998024;-0.62375;-0.5425031;1;
1513353118.007974;1513353118.007974;1513353118.008012;-0.62375;-0.5426934;1;
1513353118.017972;1513353118.017972;1513353118.018015;-0.62375;-0.5428799;1;
1513353118.027996;1513353118.027996;1513353118.028036;-0.62375;-0.5430626;1;
1513353118.037997;1513353118.037997;1513353118.038045;-0.62375;-0.5432417;1;
1513353118.047982;1513353118.047982;1513353118.048021;-0.62375;-0.5434173;1;
1513353118.057998;1513353118.057998;1513353118.058049;-0.62375;-0.5435893;1;
1513353118.06799;1513353118.06799;1513353118.068029;-0.62375;-0.5437579;1;
1513353118.077963;1513353118.077963;1513353118.078002;-0.62375;-0.5439231;1;
1513353118.088012;1513353118.088012;1513353118.088081;-0.62375;-0.544085;1;
1513353118.098012;1513353118.098012;1513353118.098056;-0.62375;-0.5442436;1;
1513353118.107981;1513353118.107981;1513353118.10802;-0.62375;-0.5443991;1;
1513353118.117976;1513353118.117976;1513353118.118016;-0.62375;-0.5445514;1;
1513353118.127974;1513353118.127974;1513353118.128013;-0.62375;-0.5447008;1;
1513353118.13798;1513353118.13798;1513353118.138019;-0.62375;-0.5448471;1;
1513353118.147989;1513353118.147989;1513353118.148029;-0.62375;-0.5449905;1;
1513353118.157982;1513353118.157982;1513353118.158021;-0.62375;-0.5451311;1;
1513353118.167974;1513353118.167974;1513353118.16801;-0.62375;-0.5452688;1;
1513353118.177973;1513353118.177973;1513353118.178012;-0.62375;-0.5454038;1;
1513353118.187986;1513353118.187986;1513353118.188055;-0.62375;-0.5455361;1;
1513353118.197999;1513353118.197999;1513353118.19804;-0.62375;-0.5456657;1;
1513353118.207975;1513353118.207975;1513353118.208021;-0.62375;-0.5457928;1;
1513353118.21802;1513353118.21802;1513353118.218063;-0.62375;-0.5459173;1;
1513353118.227995;1513353118.227995;1513353118.228061;-0.62375;-0.5460393;1;
1513353118.237988;1513353118.237988;1513353118.238036;-0.62375;-0.5461589;1;
1513353118.247997;1513353118.247997;1513353118.248064;-0.62375;-0.546276;1;
1513353118.257985;1513353118.257985;1513353118.258023;-0.62375;-0.5463908;1;
1513353118.267981;1513353118.267981;1513353118.268019;-0.62375;-0.5465034;1;
1513353118.277964;1513353118.277964;1513353118.278004;-0.62375;-0.5466137;1;
1513353118.287969;1513353118.287969;1513353118.288006;-0.62375;-0.5467218;1;
1513353118.297979;1513353118.297979;1513353118.298018;-0.62375;-0.5468277;1;
1513353118.307969;1513353118.307969;1513353118.308006;-0.62375;-0.5469315;1;
1513353118.317992;1513353118.317992;1513353118.318033;-0.62375;-0.5470332;1;
1513353118.327974;1513353118.327974;1513353118.32801;-0.62375;-0.5471329;1;
1513353118.337997;1513353118.337997;1513353118.338061;-0.62375;-0.5472306;1;
1513353118.347941;1513353118.347941;1513353118.34798;-0.62375;-0.5473263;1;
1513353118.358;1513353118.358;1513353118.358063;-0.62375;-0.5474201;1;
1513353118.367984;1513353118.367984;1513353118.368022;-0.62375;-0.5475121;1;
1513353118.377933;1513353118.377933;1513353118.377972;-0.62375;-0.5476022;1;
1513353118.387981;1513353118.387981;1513353118.388025;-0.62375;-0.5476906;1;
1513353118.397977;1513353118.397977;1513353118.398016;-0.62375;-0.5477771;1;
1513353118.407989;1513353118.407989;1513353118.408029;-0.62375;-0.5478619;1;
1513353118.417981;1513353118.417981;1513353118.418019;-0.62375;-0.547945;1;
1513353118.427992;1513353118.427992;1513353118.428059;-0.62375;-0.5480265;1;
1513353118.437983;1513353118.437983;1513353118.438027;-0.62375;-0.5481063;1;
1513353118.447978;1513353118.447978;1513353118.448016;-0.62375;-0.5481845;1;
1513353118.457998;1513353118.457998;1513353118.458063;-0.62375;-0.5482612;1;
1513353118.468014;1513353118.468014;1513353118.468079;-0.62375;-0.5483363;1;
1513353118.478001;1513353118.478001;1513353118.478042;-0.62375;-0.5484099;1;
1513353118.487985;1513353118.487985;1513353118.48803;-0.62375;-0.5484821;1;
1513353118.497975;1513353118.497975;1513353118.498023;-0.62375;-0.5485528;1;
1513353118.507992;1513353118.507992;1513353118.508056;-0.62375;-0.5486221;1;
1513353118.517996;1513353118.517996;1513353118.518057;-0.62375;-0.54869;1;
1513353118.527966;1513353118.527966;1513353118.52803;-0.62375;-0.5487566;1;
1513353118.537998;1513353118.537998;1513353118.538064;-0.62375;-0.5488218;1;
1513353118.547997;1513353118.547997;1513353118.548058;-0.62375;-0.5488858;1;
1513353118.557981;1513353118.557981;1513353118.558029;-0.62375;-0.5489484;1;
1513353118.567985;1513353118.567985;1513353118.568023;-0.62375;-0.5490098;1;
1513353118.578001;1513353118.578001;1513353118.578071;-0.62375;-0.5490699;1;
1513353118.588003;1513353118.588003;1513353118.588044;-0.62375;-0.5491289;1;
1513353118.59797;1513353118.59797;1513353118.598038;-0.62375;-0.5491866;1;
1513353118.608186;1513353118.608186;1513353118.60823;-0.62375;-0.5492433;1;
1513353118.618017;1513353118.618017;1513353118.618088;-0.62375;-0.5492988;1;
1513353118.627972;1513353118.627972;1513353118.628012;-0.62375;-0.5493532;1;
1513353118.638335;1513353118.638335;1513353118.638394;-0.62375;-0.5494065;1;
1513353118.648221;1513353118.648221;1513353118.64831;-0.62375;-0.5494587;1;
1513353118.658478;1513353118.658478;1513353118.658519;-0.62375;-0.5495099;1;
1513353118.667972;1513353118.667972;1513353118.668012;-0.62375;-0.54956;1;
1513353118.677996;1513353118.677996;1513353118.678055;-0.62375;-0.5496092;1;
1513353118.687994;1513353118.687994;1513353118.688036;-0.62375;-0.5496573;1;
1513353118.697985;1513353118.697985;1513353118.698023;-0.62375;-0.5497046;1;
1513353118.707975;1513353118.707975;1513353118.708039;-0.62375;-0.5497508;1;
1513353118.717989;1513353118.717989;1513353118.718049;-0.62375;-0.5497962;1;
1513353118.727973;1513353118.727973;1513353118.728011;-0.62375;-0.5498406;1;
1513353118.73796;1513353118.73796;1513353118.738019;-0.62375;-0.5498841;1;
1513353118.748002;1513353118.748002;1513353118.748042;-0.62375;-0.5499268;1;
1513353118.758338;1513353118.758338;1513353118.758401;-0.62375;-0.5499687;1;
1513353118.770755;1513353118.770755;1513353118.770795;-0.62375;-0.5500096;1;
1513353118.777976;1513353118.777976;1513353118.778015;-0.62375;-0.5500498;1;
