SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;
1513353129.621321;1513353129.621321;1513353129.621386;
1513353130.621697;1513353130.621697;1513353130.621758;
1513353131.621362;1513353131.621362;1513353131.621403;
1513353132.621166;1513353132.621166;1513353132.621206;
1513353133.621147;1513353133.621147;1513353133.621191;
1513353134.62114;1513353134.62114;1513353134.621176;
1513353135.621188;1513353135.621188;1513353135.621246;
1513353136.621236;1513353136.621236;1513353136.621294;
1513353137.621191;1513353137.621191;1513353137.621227;
