SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;groundSpeed;
1513353119.446704;1513353119.446704;1513353119.446767;5;
1513353119.4567;1513353119.4567;1513353119.456764;4.999404599258901;
1513353119.46667;1513353119.46667;1513353119.466735;4.998319706190667;
1513353119.476681;1513353119.476681;1513353119.47672;4.994789664647088;
1513353119.486774;1513353119.486774;1513353119.486842;4.989048040505142;
1513353119.496723;1513353119.496723;1513353119.496828;4.981305690968056;
1513353119.508696;1513353119.508696;1513353119.508746;4.971758620043091;
1513353119.519957;1513353119.519957;1513353119.520022;4.960580255751931;
1513353119.526832;1513353119.526832;1513353119.526869;4.947931931001876;
1513353119.538943;1513353119.538943;1513353119.539006;4.933960954364648;
1513353119.549026;1513353119.549026;1513353119.549075;4.918801697268954;
1513353119.558839;1513353119.558839;1513353119.558905;4.90257655601379;
1513353119.569373;1513353119.569373;1513353119.569409;4.885396984676779;
1513353119.578554;1513353119.578554;1513353119.578601;4.867364318229576;
1513353119.587877;1513353119.587877;1513353119.587965;4.848570672517861;
1513353119.597008;1513353119.597008;1513353119.597301;4.829099709258596;
1513353119.606661;1513353119.606661;1513353119.606725;4.80902736682955;
1513353119.616954;1513353119.616954;1513353119.617019;4.788422550601915;
1513353119.626665;1513353119.626665;1513353119.626723;4.767357734211859;
1513353119.63664;1513353119.63664;1513353119.6367;4.745878530475111;
1513353119.646672;1513353119.646672;1513353119.646712;4.729547910742547;
1513353119.656713;1513353119.656713;1513353119.656774;4.717851397419013;
1513353119.666802;1513353119.666802;1513353119.666864;4.710325815676502;
1513353119.676666;1513353119.676666;1513353119.676727;4.706554204603992;
1513353119.686851;1513353119.686851;1513353119.686956;4.706161228953598;
1513353119.696664;1513353119.696664;1513353119.696729;4.708809041078753;
1513353119.706676;1513353119.706676;1513353119.706741;4.714193549350196;
1513353119.71669;1513353119.71669;1513353119.716738;4.722041054125972;
1513353119.726974;1513353119.726974;1513353119.727044;4.732105216160649;
1513353119.736835;1513353119.736835;1513353119.736936;4.744164325263241;
1513353119.746676;1513353119.746676;1513353119.746734;4.758018840285701;
1513353119.756669;1513353119.756669;1513353119.75674;4.773489173967806;
1513353119.766717;1513353119.766717;1513353119.766786;4.79041369848241;
1513353119.776859;1513353119.776859;1513353119.776925;4.808646949954101;
1513353119.786761;1513353119.786761;1513353119.78683;4.828058012339992;
1513353119.796703;1513353119.796703;1513353119.796764;4.848529062662311;
1513353119.806663;1513353119.806663;1513353119.806723;4.869954061708284;
1513353119.816643;1513353119.816643;1513353119.816705;4.892237575586676;
1513353119.826663;1513353119.826663;1513353119.826715;4.915281494020876;
1513353119.836689;1513353119.836689;1513353119.836752;4.93902196077739;
1513353119.846673;1513353119.846673;1513353119.846716;4.963362261309624;
1513353119.856651;1513353119.856651;1513353119.856706;4.988250120825916;
1513353119.866669;1513353119.866669;1513353119.866728;5.013614516841474;
1513353119.876659;1513353119.876659;1513353119.876706;5.039403035080373;
1513353119.886663;1513353119.886663;1513353119.886699;5.065568235323449;
1513353119.896659;1513353119.896659;1513353119.896709;5.092067178978177;
1513353119.906664;1513353119.906664;1513353119.906719;5.118861002239268;
1513353119.916666;1513353119.916666;1513353119.916725;5.145914529561323;
1513353119.926657;1513353119.926657;1513353119.926693;5.173195923387516;
