SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;vehicleID;plannedTrajectory;velocity;distanceToIntersection;
1513353127.796296;1513353127.800779;1513353127.800844;122;SS;11.27271251284955;98.19938516606744;
1513353127.796296;1513353127.802131;1513353127.802245;122;SS;11.27271251284955;98.19938516606744;
1513353128.799322;1513353128.799955;1513353128.800013;122;SS;11.2756633271178;86.81098228329749;
1513353128.799322;1513353128.800571;1513353128.800624;122;SS;11.2756633271178;86.81098228329749;
1513353129.796246;1513353129.797635;1513353129.797695;122;SS;11.14466986574819;75.70564956128794;
1513353129.796246;1513353129.797903;1513353129.797938;122;SS;11.14466986574819;75.70564956128794;
1513353130.796602;1513353130.799302;1513353130.799865;122;SS;11.01254802052252;64.62577930187767;
1513353130.796602;1513353130.801236;1513353130.801422;122;SS;11.01254802052252;64.62577930187767;
1513353131.796248;1513353131.799787;1513353131.799861;122;SS;10.92692258112506;53.66194488801506;
1513353131.796248;1513353131.801012;1513353131.801069;122;SS;10.92692258112506;53.66194488801506;
1513353132.796255;1513353132.797527;1513353132.797573;122;SS;10.90103974678306;42.7486610815682;
1513353132.796255;1513353132.79797;1513353132.798022;122;SS;10.90103974678306;42.7486610815682;
1513353133.796233;1513353133.798373;1513353133.798655;122;SS;10.92905402046191;31.84040610523155;
1513353133.796233;1513353133.799374;1513353133.799417;122;SS;10.92905402046191;31.84040610523155;
1513353134.796235;1513353134.797993;1513353134.798141;122;SS;10.99185089007069;20.88072094833794;
1513353134.796235;1513353134.799485;1513353134.79954;122;SS;10.99185089007069;20.88072094833794;
1513353135.796251;1513353135.798206;1513353135.798268;122;SS;11.0519296015949;9.859588502770606;
1513353135.796251;1513353135.798475;1513353135.798528;122;SS;11.0519296015949;9.859588502770606;
