SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;vehicleID;entryTime.seconds;entryTime.microseconds;exitTime.seconds;exitTime.microseconds;
1513353121.719647;1513353121.719647;1513353121.719716;120;1513353136;715713;1513353141;715713;
1513353127.545939;1513353127.545939;1513353127.54599;123;1513353141;716518;1513353146;716518;
1513353127.801645;1513353127.801645;1513353127.801711;122;1513353136;716518;1513353141;716518;
1513353128.624153;1513353128.624153;1513353128.624223;121;1513353141;716518;1513353146;716518;
