SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;vehicleID;plannedTrajectory;velocity;distanceToIntersection;
1513353127.544647;1513353127.544647;1513353127.544686;123;WS;11.27691211780414;89.29272289981085;
1513353128.544789;1513353128.544789;1513353128.544852;123;WS;11.26498572905107;78.13336101205708;
1513353129.544596;1513353129.544596;1513353129.544657;123;WS;9.606790882719872;67.59058297329884;
1513353130.544626;1513353130.544626;1513353130.544663;123;WS;7.818602697125781;58.8539273306033;
1513353131.544627;1513353131.544627;1513353131.544666;123;WS;6.052063300209631;51.89289193176495;
1513353132.544619;1513353132.544619;1513353132.544658;123;WS;4.299392525184114;46.6915732784305;
1513353133.544558;1513353133.544558;1513353133.544599;123;WS;3.075611744039457;43.07803510471928;
1513353134.544624;1513353134.544624;1513353134.544684;123;WS;3.041819087423139;40.0503123952407;
1513353135.544606;1513353135.544606;1513353135.544643;123;WS;3.308121218630244;36.92378981642003;
1513353136.544625;1513353136.544625;1513353136.544663;123;WS;4.077623494778627;33.25399902464932;
1513353137.544617;1513353137.544617;1513353137.544669;123;WS;5.030063567309391;28.75129205630972;
1513353138.544621;1513353138.544621;1513353138.54467;123;WS;6.121426460663272;23.22096550967908;
1513353139.544603;1513353139.544603;1513353139.544647;123;WS;7.603139979810184;16.40630791151412;
1513353140.54461;1513353140.54461;1513353140.544654;123;WS;9.010861204639115;8.080941201447303;
