SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;t1;t2;t3;t4;v1;v2;v3;v4;t;s;scal;commandAcc;commandAcc2;commandV;commandV2;acctime;mindistance;maxdistance;averagedistance;desireda;mm;
1513353115.544664;1513353115.544664;1513353115.544704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353116.544669;1513353116.544669;1513353116.544731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353117.544674;1513353117.544674;1513353117.544719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353118.544685;1513353118.544685;1513353118.544746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353119.544731;1513353119.544731;1513353119.544768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353120.544684;1513353120.544684;1513353120.544731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353121.544681;1513353121.544681;1513353121.544744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353122.544721;1513353122.544721;1513353122.544779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353123.544713;1513353123.544713;1513353123.544751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353124.544686;1513353124.544686;1513353124.54475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353125.544739;1513353125.544739;1513353125.544778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353126.544686;1513353126.544686;1513353126.544732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353127.54477;1513353127.54477;1513353127.544833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353128.545344;1513353128.545344;1513353128.545409;6.634096443024697;13.171797;13.171797;0;11.26498572905107;0.6751245079594597;11.11111111111111;11.11111111111111;13.171797;78.13336101205708;78.13336101205709;0;0;0;0;0.0769373089699803;146.3592193495115;148.3741858814462;147.3667026154789;1.596277852159676;12;
1513353129.545051;1513353129.545051;1513353129.545115;5.612645763688277;12.172016;12.172016;0;9.606790882719872;0.6884447310524529;11.11111111111111;11.11111111111111;12.172016;67.59058297329884;67.59058297329885;0;0;0;0;0.7521601141956191;117.4997571705072;134.6788773848355;126.0893172776713;1.588973636883658;12;
1513353130.544971;1513353130.544971;1513353130.545033;4.529583669201963;11.171954;11.171954;0;7.818602697125781;0.7598245375591759;11.11111111111111;11.11111111111111;11.171954;58.8539273306033;58.8539273306033;0;0;0;0;1.646254206992665;90.0592225906062;121.4226693081812;105.7409459493937;1.55837239690734;12;
1513353131.544998;1513353131.544998;1513353131.545059;3.432844255963029;10.171962;10.171962;0;6.052063300209631;0.7993450114958547;11.11111111111111;11.11111111111111;10.171962;51.89289193176495;51.89289193176496;0;0;0;0;2.52952390545074;67.95984909957373;106.6233088117532;87.29157895566348;1.530135915601045;12;
1513353132.544961;1513353132.544961;1513353132.544998;2.325039507215751;9.171969000000001;9.171969000000001;0;4.299392525184114;0.7969820563622037;11.11111111111111;11.11111111111111;9.171969000000001;46.6915732784305;46.69157327843049;0;0;0;0;3.405859292963498;51.03377248328623;90.31088914320085;70.67233081324355;1.506387507804575;12;
1513353133.544892;1513353133.544892;1513353133.544951;3.705826866993131;8.172024;8.172024;0;3.075611744039457;3.075611744039457;11.11111111111111;11.11111111111111;8.172024;43.07803510471928;43.07803510471927;0;0;0;0;4.017749683535826;41.27628550652454;74.65795414711444;57.96711982681949;0;1;
1513353134.545093;1513353134.545093;1513353134.545154;2.652471592507228;7.171956;7.171956;0;3.041819087423139;3.041819087423139;11.11111111111111;11.11111111111111;7.171956;40.0503123952407;40.0503123952407;0;0;0;0;4.034646011843986;38.09416109584748;63.41003155911142;50.75209632747945;0;1;
1513353135.54496;1513353135.54496;1513353135.54502;1.94124729056066;6.171973;6.171973;0;3.308121218630244;3.308121218630244;11.11111111111111;11.11111111111111;6.171973;36.92378981642003;36.92378981642003;0;0;0;0;3.901494946240433;35.63929765765261;53.35581496223814;44.49755630994537;0;1;
1513353136.544975;1513353136.544975;1513353136.545032;0.7183046324769946;5.171954;5.171954;0;4.077623494778627;2.725087893477837;11.11111111111111;11.11111111111111;5.171954;33.25399902464932;33.25399902464932;0;0;0;0;3.516743808166242;33.4567681565899;45.09866854327996;39.27771834993493;1.882955420511099;12;
1513353137.545009;1513353137.545009;1513353137.545078;0.6575522008040366;4.171969;4.171969;0;5.030063567309391;3.630415086288785;11.11111111111111;11.11111111111111;4.171969;28.75129205630972;28.75129205630972;0;0;0;0;3.04052377190086;30.23005407833843;37.11042630361688;33.67024019097765;2.128573943344961;12;
1513353138.544749;1513353138.544749;1513353138.544786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353139.544731;1513353139.544731;1513353139.54479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353140.544743;1513353140.544743;1513353140.544804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353141.545956;1513353141.545956;1513353141.545996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353142.544615;1513353142.544615;1513353142.544659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353143.544589;1513353143.544589;1513353143.544627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353144.544613;1513353144.544613;1513353144.544651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353145.544625;1513353145.544625;1513353145.544667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353146.544632;1513353146.544632;1513353146.54467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353147.544615;1513353147.544615;1513353147.544655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353148.544631;1513353148.544631;1513353148.544669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353149.544616;1513353149.544616;1513353149.544654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353150.544562;1513353150.544562;1513353150.544604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353151.544553;1513353151.544553;1513353151.544591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353152.544604;1513353152.544604;1513353152.544642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353153.544598;1513353153.544598;1513353153.544636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353154.544681;1513353154.544681;1513353154.54472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353155.544583;1513353155.544583;1513353155.544628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353156.544641;1513353156.544641;1513353156.544713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
