SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;vehicleID;entryTime.seconds;entryTime.microseconds;exitTime.seconds;exitTime.microseconds;
1513353121.719647;1513353121.720952;1513353121.721018;120;1513353136;715713;1513353141;715713;
1513353121.719647;1513353121.723438;1513353121.723512;120;1513353136;715713;1513353141;715713;
1513353127.545939;1513353127.551913;1513353127.551976;123;1513353141;716518;1513353146;716518;
1513353127.545939;1513353127.552387;1513353127.55244;123;1513353141;716518;1513353146;716518;
1513353127.801645;1513353127.802216;1513353127.80228;122;1513353136;716518;1513353141;716518;
1513353127.801645;1513353127.803032;1513353127.803114;122;1513353136;716518;1513353141;716518;
1513353128.624153;1513353128.719875;1513353128.719943;121;1513353141;716518;1513353146;716518;
1513353128.624153;1513353128.721072;1513353128.722104;121;1513353141;716518;1513353146;716518;
