SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;
1513353115.988354;1513353115.988354;1513353115.988392;
1513353117.988641;1513353117.988641;1513353117.98868;
1513353119.989006;1513353119.989006;1513353119.989074;
1513353121.989382;1513353121.989382;1513353121.989425;
1513353123.989714;1513353123.989714;1513353123.989777;
1513353125.990557;1513353125.990557;1513353125.990596;
1513353127.990841;1513353127.990841;1513353127.990878;
1513353129.991132;1513353129.991132;1513353129.99117;
1513353131.991399;1513353131.991399;1513353131.991441;
1513353133.991737;1513353133.991737;1513353133.991774;
1513353135.992031;1513353135.992031;1513353135.99207;
1513353137.992323;1513353137.992323;1513353137.992361;
1513353139.992621;1513353139.992621;1513353139.99266;
1513353141.993019;1513353141.993019;1513353141.993087;
1513353143.993402;1513353143.993402;1513353143.99347;
1513353145.993736;1513353145.993736;1513353145.993783;
1513353147.994105;1513353147.994105;1513353147.994174;
1513353149.99614;1513353149.99614;1513353149.996216;
1513353151.996477;1513353151.996477;1513353151.996514;
1513353153.996782;1513353153.996782;1513353153.996821;
1513353155.99712;1513353155.99712;1513353155.997175;
