SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;
1513353128.545208;1513353128.545208;1513353128.545268;
1513353129.544922;1513353129.544922;1513353129.544983;
1513353130.544853;1513353130.544853;1513353130.544911;
1513353131.544859;1513353131.544859;1513353131.544923;
1513353132.544855;1513353132.544855;1513353132.544893;
1513353133.544757;1513353133.544757;1513353133.544818;
1513353134.544879;1513353134.544879;1513353134.545021;
1513353135.544838;1513353135.544838;1513353135.544892;
1513353136.544842;1513353136.544842;1513353136.544904;
1513353137.544869;1513353137.544869;1513353137.544934;
