SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;vehicleID;plannedTrajectory;velocity;distanceToIntersection;
1513353127.796296;1513353127.796296;1513353127.796362;122;SS;11.27271251284955;98.19938516606744;
1513353128.799322;1513353128.799322;1513353128.799361;122;SS;11.2756633271178;86.81098228329749;
1513353129.796246;1513353129.796246;1513353129.796305;122;SS;11.14466986574819;75.70564956128794;
1513353130.796602;1513353130.796602;1513353130.796655;122;SS;11.01254802052252;64.62577930187767;
1513353131.796248;1513353131.796248;1513353131.796315;122;SS;10.92692258112506;53.66194488801506;
1513353132.796255;1513353132.796255;1513353132.796307;122;SS;10.90103974678306;42.7486610815682;
1513353133.796233;1513353133.796233;1513353133.796272;122;SS;10.92905402046191;31.84040610523155;
1513353134.796235;1513353134.796235;1513353134.796276;122;SS;10.99185089007069;20.88072094833794;
1513353135.796251;1513353135.796251;1513353135.796302;122;SS;11.0519296015949;9.859588502770606;
