SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;
1513353118.255153;1513353118.255153;1513353118.255193;
1513353120.255496;1513353120.255496;1513353120.255549;
1513353122.255834;1513353122.255834;1513353122.255876;
1513353124.256139;1513353124.256139;1513353124.256179;
1513353126.256622;1513353126.256622;1513353126.256683;
1513353128.258131;1513353128.258131;1513353128.258197;
1513353130.259321;1513353130.259321;1513353130.259391;
1513353132.260027;1513353132.260027;1513353132.260097;
1513353134.260367;1513353134.260367;1513353134.260406;
1513353136.260744;1513353136.260744;1513353136.260793;
1513353138.261047;1513353138.261047;1513353138.261084;
1513353140.261337;1513353140.261337;1513353140.261373;
1513353142.261625;1513353142.261625;1513353142.261663;
1513353144.261926;1513353144.261926;1513353144.261964;
1513353146.262215;1513353146.262215;1513353146.262256;
1513353148.262503;1513353148.262503;1513353148.26254;
1513353150.262839;1513353150.262839;1513353150.262904;
