SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;t1;t2;t3;t4;v1;v2;v3;v4;t;s;scal;commandAcc;commandAcc2;commandV;commandV2;acctime;mindistance;maxdistance;averagedistance;desireda;mm;
1513353118.79623;1513353118.79623;1513353118.796267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353119.796273;1513353119.796273;1513353119.796336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353120.798325;1513353120.798325;1513353120.798556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353121.79761;1513353121.79761;1513353121.797676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353122.796329;1513353122.796329;1513353122.796423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353123.79633;1513353123.79633;1513353123.796394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353124.796337;1513353124.796337;1513353124.796395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353125.796323;1513353125.796323;1513353125.796486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353126.79688;1513353126.79688;1513353126.796945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353127.796488;1513353127.796488;1513353127.796553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353128.80005;1513353128.80005;1513353128.800114;4.649007911095335;7.917345;7.917345;0;11.2756633271178;10.72158154186682;11.11111111111111;11.11111111111111;7.917345;86.81098228329749;86.81098228329742;0;0;0;0;0.08227610800334251;87.97726935794819;89.26654730669128;88.62190833231972;0.1191828011151817;12;
1513353129.796643;1513353129.796643;1513353129.796954;3.614013950871198;6.920359;6.920359;0;11.14466986574819;10.75047400537548;11.11111111111111;11.11111111111111;6.920359;75.70564956128794;75.70564956128814;0;0;0;0;0.01677937731854051;76.89315932528098;77.1248348599561;77.00899709261854;0.1090742497763984;12;
1513353130.797369;1513353130.797369;1513353130.79743;2.471640910813626;5.919986;5.919986;0;11.01254802052252;10.76312493788468;11.11111111111111;11.11111111111111;5.919986;64.62577930187767;64.6257793018777;0;0;0;0;0.04928154529429563;65.19655877652762;65.77519355151563;65.48587616402162;0.1009139643006372;12;
1513353131.796635;1513353131.796635;1513353131.796692;1.584116184897021;4.920359;4.920359;0;10.92692258112506;10.76039578654686;11.11111111111111;11.11111111111111;4.920359;53.66194488801506;53.6619448880151;0;0;0;0;0.09209426499302609;53.77286321798652;54.66217420191095;54.21751870994873;0.1051228414720241;12;
1513353132.796382;1513353132.796382;1513353132.796434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353133.796363;1513353133.796363;1513353133.796426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353134.796382;1513353134.796382;1513353134.796445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353135.796694;1513353135.796694;1513353135.796766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353136.796237;1513353136.796237;1513353136.796291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353137.796242;1513353137.796242;1513353137.796284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353138.79623;1513353138.79623;1513353138.796269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353139.796269;1513353139.796269;1513353139.79636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353140.796378;1513353140.796378;1513353140.796435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353141.796344;1513353141.796344;1513353141.796454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353142.79625;1513353142.79625;1513353142.79629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353143.796226;1513353143.796226;1513353143.796265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353144.796191;1513353144.796191;1513353144.796231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353145.796184;1513353145.796184;1513353145.796222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353146.79622;1513353146.79622;1513353146.79626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353147.796485;1513353147.796485;1513353147.796569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353148.796193;1513353148.796193;1513353148.796238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353149.796257;1513353149.796257;1513353149.796308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513353150.797156;1513353150.797156;1513353150.797228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
