SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;vehicleID;entryTime.seconds;entryTime.microseconds;exitTime.seconds;exitTime.microseconds;
1513353121.719647;1513353121.720882;1513353121.720932;120;1513353136;715713;1513353141;715713;
1513353121.719647;1513353121.721373;1513353121.721426;120;1513353136;715713;1513353141;715713;
1513353127.545939;1513353127.550475;1513353127.550535;123;1513353141;716518;1513353146;716518;
1513353127.545939;1513353127.551092;1513353127.551147;123;1513353141;716518;1513353146;716518;
1513353127.801645;1513353127.8046;1513353127.804659;122;1513353136;716518;1513353141;716518;
1513353127.801645;1513353127.807348;1513353127.809093;122;1513353136;716518;1513353141;716518;
1513353128.624153;1513353128.71672;1513353128.71679;121;1513353141;716518;1513353146;716518;
1513353128.624153;1513353128.717916;1513353128.71799;121;1513353141;716518;1513353146;716518;
