SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;latitude;longitude;
1513353119.097759;1513353119.097759;1513353119.097836;57.77337154493465;12.76687512235394;
1513353119.107788;1513353119.107788;1513353119.107853;57.77337154493465;12.76687512235394;
1513353119.117767;1513353119.117767;1513353119.117837;57.77337154493465;12.76687512235394;
1513353119.127724;1513353119.127724;1513353119.127776;57.77337154493465;12.76687512235394;
1513353119.137741;1513353119.137741;1513353119.137812;57.77337154493465;12.76687512235394;
1513353119.147723;1513353119.147723;1513353119.1478;57.77337154493465;12.76687512235394;
1513353119.158279;1513353119.158279;1513353119.158345;57.77337154493465;12.76688512235394;
1513353119.167872;1513353119.167872;1513353119.16791;57.77337154493465;12.76688512235394;
1513353119.177737;1513353119.177737;1513353119.177793;57.77337154493465;12.76688512235394;
1513353119.187729;1513353119.187729;1513353119.187769;57.77337154493465;12.76688512235394;
1513353119.197711;1513353119.197711;1513353119.197749;57.77337154493465;12.76688512235394;
1513353119.207745;1513353119.207745;1513353119.207814;57.77337154493465;12.76688512235394;
1513353119.217934;1513353119.217934;1513353119.218019;57.77337154493465;12.76688512235394;
1513353119.227757;1513353119.227757;1513353119.227822;57.77337154493465;12.76688512235394;
1513353119.23796;1513353119.23796;1513353119.238002;57.77337154493465;12.76688512235394;
1513353119.247774;1513353119.247774;1513353119.247849;57.77337154493465;12.76688512235394;
1513353119.258588;1513353119.258588;1513353119.258659;57.77337154493465;12.76688512235394;
1513353119.267748;1513353119.267748;1513353119.267818;57.77337154493465;12.76688512235394;
1513353119.277832;1513353119.277832;1513353119.277896;57.77337154493465;12.76689512235394;
1513353119.287725;1513353119.287725;1513353119.287764;57.77337154493465;12.76689512235394;
1513353119.297691;1513353119.297691;1513353119.297746;57.77337154493465;12.76689512235394;
1513353119.307734;1513353119.307734;1513353119.307779;57.77337154493465;12.76689512235394;
1513353119.31773;1513353119.31773;1513353119.317769;57.77337154493465;12.76689512235394;
1513353119.327739;1513353119.327739;1513353119.327782;57.77337154493465;12.76689512235394;
1513353119.338412;1513353119.338412;1513353119.338457;57.77337154493465;12.76689512235394;
1513353119.347713;1513353119.347713;1513353119.347752;57.77337154493465;12.76689512235394;
1513353119.358006;1513353119.358006;1513353119.3581;57.77337154493465;12.76689512235394;
1513353119.367746;1513353119.367746;1513353119.367911;57.77337154493465;12.76689512235394;
1513353119.379463;1513353119.379463;1513353119.379514;57.77337154493465;12.76689512235394;
1513353119.38831;1513353119.38831;1513353119.388379;57.77337154493465;12.76690512235394;
1513353119.397817;1513353119.397817;1513353119.397916;57.77337154493465;12.76690512235394;
1513353119.407935;1513353119.407935;1513353119.408001;57.77337154493465;12.76690512235394;
1513353119.418183;1513353119.418183;1513353119.418327;57.77337154493465;12.76690512235394;
1513353119.42815;1513353119.42815;1513353119.42822;57.77337154493465;12.76690512235394;
1513353119.437882;1513353119.437882;1513353119.438074;57.77337154493465;12.76690512235394;
1513353119.450086;1513353119.450086;1513353119.450156;57.77337154493465;12.76690512235394;
1513353119.457741;1513353119.457741;1513353119.457823;57.77336154493464;12.76690512235394;
1513353119.467822;1513353119.467822;1513353119.46786;57.77336154493464;12.76690512235394;
1513353119.477742;1513353119.477742;1513353119.477806;57.77336154493464;12.76690512235394;
1513353119.487757;1513353119.487757;1513353119.487824;57.77336154493464;12.76690512235394;
1513353119.497772;1513353119.497772;1513353119.497821;57.77336154493464;12.76691512235394;
1513353119.507754;1513353119.507754;1513353119.507806;57.77336154493464;12.76691512235394;
1513353119.517832;1513353119.517832;1513353119.517901;57.77336154493464;12.76691512235394;
1513353119.527987;1513353119.527987;1513353119.52805;57.77336154493464;12.76691512235394;
1513353119.53775;1513353119.53775;1513353119.537817;57.77336154493464;12.76691512235394;
1513353119.547761;1513353119.547761;1513353119.547828;57.77336154493464;12.76691512235394;
1513353119.557803;1513353119.557803;1513353119.55787;57.77336154493464;12.76691512235394;
1513353119.567953;1513353119.567953;1513353119.568018;57.77336154493464;12.76691512235394;
1513353119.577854;1513353119.577854;1513353119.577893;57.77336154493464;12.76691512235394;
1513353119.587729;1513353119.587729;1513353119.587773;57.77336154493464;12.76691512235394;
1513353119.597968;1513353119.597968;1513353119.598045;57.77336154493464;12.76692512235394;
1513353119.608319;1513353119.608319;1513353119.608378;57.77336154493464;12.76692512235394;
1513353119.617754;1513353119.617754;1513353119.617817;57.77336154493464;12.76692512235394;
1513353119.627791;1513353119.627791;1513353119.627856;57.77336154493464;12.76692512235394;
1513353119.637751;1513353119.637751;1513353119.637814;57.77336154493464;12.76692512235394;
1513353119.647752;1513353119.647752;1513353119.647817;57.77336154493464;12.76692512235394;
1513353119.657739;1513353119.657739;1513353119.657801;57.77336154493464;12.76692512235394;
1513353119.667763;1513353119.667763;1513353119.667832;57.77336154493464;12.76692512235394;
1513353119.678003;1513353119.678003;1513353119.678066;57.77336154493464;12.76692512235394;
1513353119.687732;1513353119.687732;1513353119.687799;57.77336154493464;12.76692512235394;
1513353119.697889;1513353119.697889;1513353119.697928;57.77336154493464;12.76693512235394;
1513353119.707733;1513353119.707733;1513353119.707786;57.77336154493464;12.76693512235394;
1513353119.718432;1513353119.718432;1513353119.718496;57.77336154493464;12.76693512235394;
1513353119.728063;1513353119.728063;1513353119.728115;57.77336154493464;12.76693512235394;
1513353119.737749;1513353119.737749;1513353119.737806;57.77336154493464;12.76693512235394;
1513353119.747979;1513353119.747979;1513353119.748038;57.77336154493464;12.76693512235394;
1513353119.757844;1513353119.757844;1513353119.757949;57.77336154493464;12.76693512235394;
