SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;acceleration;steering;isValid;
1513353118.226227;1513353118.226227;1513353118.226267;3;-0.5213076;1;
1513353118.236215;1513353118.236215;1513353118.236256;3;-0.5219219;1;
1513353118.246212;1513353118.246212;1513353118.24625;3;-0.5225238;1;
1513353118.256215;1513353118.256215;1513353118.256251;3;-0.5231137;1;
1513353118.266212;1513353118.266212;1513353118.266248;3;-0.5236917;1;
1513353118.276217;1513353118.276217;1513353118.276253;3;-0.5242583;1;
1513353118.28621;1513353118.28621;1513353118.286252;3;-0.5248134;1;
1513353118.296207;1513353118.296207;1513353118.296242;3;-0.5253575;1;
1513353118.30618;1513353118.30618;1513353118.306216;3;-0.5258907;1;
1513353118.316233;1513353118.316233;1513353118.316281;3;-0.5264133;1;
1513353118.326207;1513353118.326207;1513353118.326243;3;-0.5269254;1;
1513353118.336202;1513353118.336202;1513353118.336239;3;-0.5274272;1;
1513353118.346214;1513353118.346214;1513353118.346253;3;-0.5279191;1;
1513353118.356217;1513353118.356217;1513353118.356255;3;-0.528401;1;
1513353118.366192;1513353118.366192;1513353118.366233;3;-0.5288733;1;
1513353118.376207;1513353118.376207;1513353118.376242;3;-0.5293362;1;
1513353118.386205;1513353118.386205;1513353118.386241;3;-0.5297899;1;
1513353118.396208;1513353118.396208;1513353118.396243;3;-0.5302344;1;
1513353118.406215;1513353118.406215;1513353118.406253;3;-0.5306701;1;
1513353118.416213;1513353118.416213;1513353118.416249;3;-0.5310971;1;
1513353118.426234;1513353118.426234;1513353118.426275;3;-0.5315155;1;
1513353118.436209;1513353118.436209;1513353118.436244;3;-0.5319255;1;
1513353118.44621;1513353118.44621;1513353118.446246;3;-0.5323274;1;
1513353118.456206;1513353118.456206;1513353118.456243;3;-0.5327212;1;
1513353118.466234;1513353118.466234;1513353118.466294;3;-0.5331071;1;
1513353118.476183;1513353118.476183;1513353118.476222;3;-0.5334853;1;
1513353118.48621;1513353118.48621;1513353118.486245;3;-0.533856;1;
1513353118.496175;1513353118.496175;1513353118.496215;3;-0.5342192;1;
1513353118.506211;1513353118.506211;1513353118.50625;3;-0.5345752;1;
1513353118.516208;1513353118.516208;1513353118.516244;3;-0.534924;1;
1513353118.526201;1513353118.526201;1513353118.526238;3;-0.5352659;1;
1513353118.53619;1513353118.53619;1513353118.536227;3;-0.5356009;1;
1513353118.54621;1513353118.54621;1513353118.546248;3;-0.5359293;1;
1513353118.55623;1513353118.55623;1513353118.556269;3;-0.536251;1;
1513353118.566241;1513353118.566241;1513353118.566303;3;-0.5365664;1;
1513353118.576225;1513353118.576225;1513353118.576268;3;-0.5368754;1;
1513353118.586212;1513353118.586212;1513353118.586251;3;-0.5371782;1;
1513353118.596223;1513353118.596223;1513353118.596261;3;-0.537475;1;
1513353118.606217;1513353118.606217;1513353118.606258;3;-0.5377659;1;
1513353118.616225;1513353118.616225;1513353118.616267;3;-0.5380509;1;
1513353118.626206;1513353118.626206;1513353118.626244;3;-0.5383303;1;
1513353118.636217;1513353118.636217;1513353118.636255;3;-0.538604;1;
1513353118.646232;1513353118.646232;1513353118.646273;3;-0.5388723;1;
1513353118.656228;1513353118.656228;1513353118.656267;3;-0.5391352;1;
1513353118.666225;1513353118.666225;1513353118.66628;3;-0.5393928;1;
1513353118.676234;1513353118.676234;1513353118.676273;3;-0.5396454;1;
1513353118.686211;1513353118.686211;1513353118.686247;3;-0.5398928;1;
1513353118.696206;1513353118.696206;1513353118.696242;3;-0.5401353;1;
1513353118.706214;1513353118.706214;1513353118.70625;3;-0.540373;1;
1513353118.716215;1513353118.716215;1513353118.716253;3;-0.5406058;1;
1513353118.726214;1513353118.726214;1513353118.726252;3;-0.5408341;1;
1513353118.736201;1513353118.736201;1513353118.736238;3;-0.5410578;1;
1513353118.746223;1513353118.746223;1513353118.746261;3;-0.5412769;1;
1513353118.756209;1513353118.756209;1513353118.756245;3;-0.5414918;1;
1513353118.76622;1513353118.76622;1513353118.766261;3;-0.5417023;1;
1513353118.776225;1513353118.776225;1513353118.776264;3;-0.5419086;1;
1513353118.786307;1513353118.786307;1513353118.786343;3;-0.5421108;1;
1513353118.796232;1513353118.796232;1513353118.796273;3;-0.5423089;1;
1513353118.806203;1513353118.806203;1513353118.806238;3;-0.5425031;1;
1513353118.81623;1513353118.81623;1513353118.81627;3;-0.5426934;1;
1513353118.826178;1513353118.826178;1513353118.826218;3;-0.5428799;1;
1513353118.836203;1513353118.836203;1513353118.836241;3;-0.5430626;1;
1513353118.846205;1513353118.846205;1513353118.846241;3;-0.5432417;1;
1513353118.856187;1513353118.856187;1513353118.856223;3;-0.5434173;1;
1513353118.866216;1513353118.866216;1513353118.866253;3;-0.5435893;1;
1513353118.876207;1513353118.876207;1513353118.876243;3;-0.5437579;1;
1513353118.88618;1513353118.88618;1513353118.886217;3;-0.5439231;1;
1513353118.896208;1513353118.896208;1513353118.896243;3;-0.544085;1;
1513353118.906232;1513353118.906232;1513353118.906266;3;-0.5442436;1;
