SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;velocity;
1513353118.796125;1513353118.796125;1513353118.796163;11.11111111111111;
1513353119.796164;1513353119.796164;1513353119.796201;11.11111111111111;
1513353120.798159;1513353120.798159;1513353120.798237;11.11111111111111;
1513353121.797468;1513353121.797468;1513353121.797529;11.11111111111111;
1513353122.796215;1513353122.796215;1513353122.796257;11.11111111111111;
1513353123.796231;1513353123.796231;1513353123.796271;11.11111111111111;
1513353124.796227;1513353124.796227;1513353124.796266;11.11111111111111;
1513353125.796211;1513353125.796211;1513353125.796254;11.11111111111111;
1513353126.796763;1513353126.796763;1513353126.796802;11.11111111111111;
