SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;velocity;
1510748161.710577;1510748161.710577;1510748161.710709;5.896870000000001;
1510748161.811638;1510748161.811638;1510748161.811773;5.89296;
1510748161.910332;1510748161.910332;1510748161.910443;6.014170000000001;
1510748162.010487;1510748162.010487;1510748162.010628;6.072820000000001;
1510748162.110696;1510748162.110696;1510748162.110796;6.13147;
1510748162.210338;1510748162.210338;1510748162.210438;6.22531;
1510748162.310369;1510748162.310369;1510748162.310469;6.3387;
1510748162.410264;1510748162.410264;1510748162.410367;6.42081;
1510748162.512383;1510748162.512383;1510748162.512493;6.452090000000001;
1510748162.610343;1510748162.610343;1510748162.610478;6.60458;
1510748162.710611;1510748162.710611;1510748162.710683;6.792260000000001;
1510748162.812598;1510748162.812598;1510748162.813524;7.011220000000001;
1510748162.914191;1510748162.914191;1510748162.914307;7.206720000000001;
1510748163.010831;1510748163.010831;1510748163.010934;7.37485;
1510748163.112577;1510748163.112577;1510748163.11277;7.492150000000001;
1510748163.210561;1510748163.210561;1510748163.210635;7.585990000000001;
1510748163.3129;1510748163.3129;1510748163.313037;7.703290000000001;
1510748163.411623;1510748163.411623;1510748163.411736;7.761940000000001;
1510748163.510901;1510748163.510901;1510748163.511014;7.871420000000001;
1510748163.610614;1510748163.610614;1510748163.610716;8.20377;
1510748163.712881;1510748163.712881;1510748163.713113;8.28979;
1510748163.810455;1510748163.810455;1510748163.81057;8.33;
1510748163.910973;1510748163.910973;1510748163.91108;8.33;
1510748164.011687;1510748164.011687;1510748164.011929;8.33;
1510748164.113147;1510748164.113147;1510748164.113264;8.33;
1510748164.211522;1510748164.211522;1510748164.211634;8.33;
1510748164.310311;1510748164.310311;1510748164.310416;8.33;
1510748164.410927;1510748164.410927;1510748164.41103;8.33;
1510748164.510496;1510748164.510496;1510748164.510586;8.104840000000001;
1510748164.610251;1510748164.610251;1510748164.610326;8.081380000000001;
1510748164.711889;1510748164.711889;1510748164.712007;8.108750000000001;
1510748164.810382;1510748164.810382;1510748164.810516;8.081380000000001;
1510748164.911632;1510748164.911632;1510748164.911711;8.081380000000001;
1510748165.010412;1510748165.010412;1510748165.010556;8.132210000000001;
1510748165.11082;1510748165.11082;1510748165.110931;8.140030000000001;
1510748165.210535;1510748165.210535;1510748165.210686;8.136120000000002;
1510748165.310505;1510748165.310505;1510748165.310642;8.112660000000002;
1510748165.410324;1510748165.410324;1510748165.410404;8.159580000000002;
1510748165.511471;1510748165.511471;1510748165.511576;8.143940000000001;
1510748165.611721;1510748165.611721;1510748165.611894;8.155670000000001;
1510748165.710519;1510748165.710519;1510748165.710644;8.132210000000001;
1510748165.810279;1510748165.810279;1510748165.810346;8.136120000000002;
1510748165.912504;1510748165.912504;1510748165.912701;8.112660000000002;
1510748166.010459;1510748166.010459;1510748166.010751;8.124390000000002;
1510748166.115471;1510748166.115471;1510748166.11555;8.097020000000001;
1510748166.210334;1510748166.210334;1510748166.21044;8.089200000000002;
1510748166.312884;1510748166.312884;1510748166.312989;8.104840000000001;
1510748166.410271;1510748166.410271;1510748166.410335;8.081380000000001;
1510748166.51259;1510748166.51259;1510748166.512712;8.085290000000001;
1510748166.610312;1510748166.610312;1510748166.610386;8.093110000000001;
1510748166.710392;1510748166.710392;1510748166.7105;8.069650000000001;
1510748166.811574;1510748166.811574;1510748166.811683;8.077470000000002;
1510748166.91046;1510748166.91046;1510748166.910571;8.046190000000001;
1510748167.012136;1510748167.012136;1510748167.012311;8.034460000000001;
1510748167.112218;1510748167.112218;1510748167.11264;8.030550000000002;
1510748167.210481;1510748167.210481;1510748167.210582;8.034460000000001;
1510748167.315289;1510748167.315289;1510748167.315643;8.009237128138105;
1510748167.413138;1510748167.413138;1510748167.41333;8.01491;
1510748167.511637;1510748167.511637;1510748167.5118;8.014409325318155;
1510748167.612975;1510748167.612975;1510748167.613064;8.009754181732754;
1510748167.710316;1510748167.710316;1510748167.710472;7.988356245895854;
1510748167.810605;1510748167.810605;1510748167.810847;7.986672959454149;
1510748167.910415;1510748167.910415;1510748167.910542;7.983546716040165;
1510748168.010687;1510748168.010687;1510748168.010796;7.940303971477715;
1510748168.110448;1510748168.110448;1510748168.110561;7.9661767002683;
1510748168.21161;1510748168.21161;1510748168.21172;7.93492073552866;
1510748168.310641;1510748168.310641;1510748168.31075;7.935648421175744;
1510748168.410261;1510748168.410261;1510748168.41036;7.917140026668125;
1510748168.512696;1510748168.512696;1510748168.512782;7.905795787053826;
1510748168.610605;1510748168.610605;1510748168.611007;7.888064785934743;
1510748168.71048;1510748168.71048;1510748168.711043;7.882017992830415;
1510748168.81029;1510748168.81029;1510748168.81037;7.857350442665323;
1510748168.910313;1510748168.910313;1510748168.910459;7.841389131623586;
1510748169.010756;1510748169.010756;1510748169.011714;7.838775103819513;
1510748169.111636;1510748169.111636;1510748169.112744;7.83537291858899;
1510748169.210385;1510748169.210385;1510748169.21051;7.826507111078947;
1510748169.310313;1510748169.310313;1510748169.310392;7.799533083007907;
1510748169.41067;1510748169.41067;1510748169.410771;7.760269529641374;
1510748169.513366;1510748169.513366;1510748169.513769;7.785878469402322;
1510748169.610534;1510748169.610534;1510748169.61067;7.754695718874814;
1510748169.710397;1510748169.710397;1510748169.710506;7.746313702337794;
1510748169.810638;1510748169.810638;1510748169.810808;7.718366055493629;
1510748169.910231;1510748169.910231;1510748169.910306;7.722036999956169;
1510748170.010342;1510748170.010342;1510748170.010454;7.707596692672727;
1510748170.110606;1510748170.110606;1510748170.110826;7.705550541602311;
1510748170.211733;1510748170.211733;1510748170.211856;7.669285853006367;
1510748170.310253;1510748170.310253;1510748170.310335;7.663649496007693;
1510748170.41105;1510748170.41105;1510748170.411386;7.631000384595185;
1510748170.510982;1510748170.510982;1510748170.511093;7.613797099034263;
1510748170.610437;1510748170.610437;1510748170.610535;7.616858296962313;
1510748170.711494;1510748170.711494;1510748170.713553;7.607454917935261;
1510748170.810503;1510748170.810503;1510748170.810616;7.578387617645808;
1510748170.91038;1510748170.91038;1510748170.91049;7.559309031332458;
1510748171.010493;1510748171.010493;1510748171.010597;7.558988398514716;
1510748171.111146;1510748171.111146;1510748171.111307;7.545715806245479;
1510748171.213949;1510748171.213949;1510748171.21405;7.55151644917845;
1510748171.311239;1510748171.311239;1510748171.31137;7.524760399434223;
1510748171.410279;1510748171.410279;1510748171.410926;7.522461743881709;
1510748171.510741;1510748171.510741;1510748171.510805;7.511583905509525;
1510748171.610455;1510748171.610455;1510748171.610615;7.50186671128876;
1510748171.710351;1510748171.710351;1510748171.710452;7.459752215532786;
1510748171.810541;1510748171.810541;1510748171.810693;7.447931002374212;
1510748171.91025;1510748171.91025;1510748171.910336;7.452828271912907;
1510748172.011593;1510748172.011593;1510748172.011703;7.442958113355137;
1510748172.110618;1510748172.110618;1510748172.11073;7.412605400613155;
1510748172.210482;1510748172.210482;1510748172.210631;7.412434628275749;
1510748172.31077;1510748172.31077;1510748172.31088;7.389001893916559;
1510748172.410426;1510748172.410426;1510748172.41051;7.363351975218917;
1510748172.511186;1510748172.511186;1510748172.511658;7.341354846759112;
1510748172.610512;1510748172.610512;1510748172.61062;7.33466251542546;
1510748172.710311;1510748172.710311;1510748172.710414;7.346197160223407;
1510748172.813312;1510748172.813312;1510748172.813383;7.319971349335449;
1510748172.910461;1510748172.910461;1510748172.910575;7.281911250602453;
1510748173.01053;1510748173.01053;1510748173.010655;7.271579895806315;
1510748173.112795;1510748173.112795;1510748173.112905;7.251698913051395;
1510748173.214105;1510748173.214105;1510748173.21442;7.236187051685229;
1510748173.310685;1510748173.310685;1510748173.310997;7.221820751255249;
1510748173.410401;1510748173.410401;1510748173.410529;7.207045588704209;
1510748173.511509;1510748173.511509;1510748173.511624;8.33;
1510748173.610333;1510748173.610333;1510748173.61043;8.33;
1510748173.711788;1510748173.711788;1510748173.712013;8.33;
1510748173.81144;1510748173.81144;1510748173.811545;8.33;
1510748173.910534;1510748173.910534;1510748173.910627;8.33;
1510748174.010512;1510748174.010512;1510748174.010664;8.33;
1510748174.111018;1510748174.111018;1510748174.111174;8.33;
1510748174.211427;1510748174.211427;1510748174.211536;8.33;
1510748174.311379;1510748174.311379;1510748174.311524;8.33;
1510748174.410548;1510748174.410548;1510748174.413182;8.33;
1510748174.514919;1510748174.514919;1510748174.515039;8.33;
1510748174.610559;1510748174.610559;1510748174.610693;8.33;
1510748174.710386;1510748174.710386;1510748174.710496;8.33;
1510748174.81105;1510748174.81105;1510748174.811163;8.33;
1510748174.911115;1510748174.911115;1510748174.911242;8.33;
1510748175.012379;1510748175.012379;1510748175.012892;8.33;
1510748175.110373;1510748175.110373;1510748175.110484;8.33;
1510748175.213554;1510748175.213554;1510748175.213697;8.33;
1510748175.310961;1510748175.310961;1510748175.311625;8.33;
1510748175.410889;1510748175.410889;1510748175.411051;8.33;
1510748175.512015;1510748175.512015;1510748175.512184;8.33;
1510748175.610473;1510748175.610473;1510748175.610609;8.33;
1510748175.710559;1510748175.710559;1510748175.710672;8.33;
1510748175.812434;1510748175.812434;1510748175.812809;8.33;
1510748175.911358;1510748175.911358;1510748175.91146;8.33;
1510748176.01367;1510748176.01367;1510748176.01379;8.33;
1510748176.113002;1510748176.113002;1510748176.113106;8.33;
1510748176.213904;1510748176.213904;1510748176.214009;8.33;
1510748176.310762;1510748176.310762;1510748176.310968;8.33;
1510748176.410269;1510748176.410269;1510748176.410341;8.33;
1510748176.51197;1510748176.51197;1510748176.512631;8.33;
1510748176.610425;1510748176.610425;1510748176.610539;8.33;
1510748176.712269;1510748176.712269;1510748176.712388;8.33;
1510748176.810287;1510748176.810287;1510748176.810353;8.33;
1510748176.9147;1510748176.9147;1510748176.915039;8.33;
1510748177.010635;1510748177.010635;1510748177.010734;8.33;
1510748177.112303;1510748177.112303;1510748177.112406;8.33;
1510748177.210288;1510748177.210288;1510748177.210393;8.33;
