SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;currentLocation;intersectionLocation;errAngle;errDistance;
1513176470.885758;1513176470.885758;1513176470.885896;0;182.795343863571;-0.2819150929122098;0;
1513176470.896191;1513176470.896191;1513176470.896365;0;182.795343863571;-0.2819150929122098;0;
1513176470.906077;1513176470.906077;1513176470.906212;0;182.795343863571;-0.2819150929122098;0;
1513176470.915556;1513176470.915556;1513176470.91566;0;182.795343863571;-0.2819150929122098;0;
1513176470.926178;1513176470.926178;1513176470.926303;0;182.795343863571;-0.2819150929122098;0;
1513176470.935664;1513176470.935664;1513176470.935776;-29.2821857913815;182.795343863571;-0.2860372108539046;0.1718673022296439;
1513176470.945506;1513176470.945506;1513176470.945616;-29.2821857913815;182.795343863571;-0.2860372108539046;0.1718673022296439;
1513176470.956932;1513176470.956932;1513176470.957047;-29.2821857913815;182.795343863571;-0.2860372108539046;0.1718673022296439;
1513176470.966538;1513176470.966538;1513176470.966698;-29.2821857913815;182.795343863571;-0.2860372108539046;0.1718673022296439;
1513176470.975334;1513176470.975334;1513176470.975445;-29.2821857913815;182.795343863571;-0.2860372108539046;0.1718673022296439;
1513176470.985318;1513176470.985318;1513176470.985383;-29.2821857913815;182.795343863571;-0.2860372108539046;0.1718673022296439;
1513176470.995846;1513176470.995846;1513176470.995909;-29.2821857913815;182.795343863571;-0.2860372108539046;0.1718673022296439;
1513176471.005407;1513176471.005407;1513176471.00547;-29.17279086014525;182.795343863571;0.01144325323840301;0.1701500176142648;
1513176471.016631;1513176471.016631;1513176471.016732;-29.17279086014525;182.795343863571;0.01144325323840301;0.1701500176142648;
1513176471.025282;1513176471.025282;1513176471.025376;-29.17279086014525;182.795343863571;0.01144325323840301;0.1701500176142648;
1513176471.035287;1513176471.035287;1513176471.035348;-29.17279086014525;182.795343863571;0.01144325323840301;0.1701500176142648;
1513176471.045409;1513176471.045409;1513176471.045471;-29.17279086014525;182.795343863571;0.01144325323840301;0.1701500176142648;
1513176471.05543;1513176471.05543;1513176471.05553;-29.0831727679804;182.795343863571;0.01147782240556289;0.1687672396609674;
1513176471.065348;1513176471.065348;1513176471.065531;-29.0831727679804;182.795343863571;0.01147782240556289;0.1687672396609674;
1513176471.076478;1513176471.076478;1513176471.076574;-29.0831727679804;182.795343863571;0.01147782240556289;0.1687672396609674;
1513176471.086027;1513176471.086027;1513176471.086147;-29.0831727679804;182.795343863571;0.01147782240556289;0.1687672396609674;
1513176471.095814;1513176471.095814;1513176471.095929;-29.0831727679804;182.795343863571;0.01147782240556289;0.1687672396609674;
1513176471.105612;1513176471.105612;1513176471.105718;-29.0831727679804;182.795343863571;0.01147782240556289;0.1687672396609674;
1513176471.11542;1513176471.11542;1513176471.115487;-29.0831727679804;182.795343863571;0.01147782240556289;0.1687672396609674;
1513176471.12586;1513176471.12586;1513176471.125924;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.135395;1513176471.135395;1513176471.135497;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.14567;1513176471.14567;1513176471.145908;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.15598;1513176471.15598;1513176471.156053;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.165331;1513176471.165331;1513176471.165433;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.175357;1513176471.175357;1513176471.175463;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.185682;1513176471.185682;1513176471.185794;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.195524;1513176471.195524;1513176471.195622;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.205332;1513176471.205332;1513176471.205434;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.216415;1513176471.216415;1513176471.216484;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.226048;1513176471.226048;1513176471.226223;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.242816;1513176471.242816;1513176471.242918;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.245469;1513176471.245469;1513176471.245569;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.255318;1513176471.255318;1513176471.25542;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.265383;1513176471.265383;1513176471.265566;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.275376;1513176471.275376;1513176471.275483;-28.9406307381777;182.795343863571;0.01123307152525804;0.166575119549795;
1513176471.285859;1513176471.285859;1513176471.285962;-28.71532953874188;182.795343863571;0.01107212178272782;0.1631933566262555;
1513176471.295458;1513176471.295458;1513176471.295627;-28.71532953874188;182.795343863571;0.01107212178272782;0.1631933566262555;
1513176471.305467;1513176471.305467;1513176471.30557;-28.71532953874188;182.795343863571;0.01107212178272782;0.1631933566262555;
1513176471.315381;1513176471.315381;1513176471.315538;-28.71532953874188;182.795343863571;0.01107212178272782;0.1631933566262555;
1513176471.325692;1513176471.325692;1513176471.325799;-28.68683018293533;182.795343863571;0.01108289890375058;0.1627622683702391;
1513176471.336093;1513176471.336093;1513176471.336195;-28.68683018293533;182.795343863571;0.01108289890375058;0.1627622683702391;
1513176471.345566;1513176471.345566;1513176471.345669;-28.68683018293533;182.795343863571;0.01108289890375058;0.1627622683702391;
