SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;acceleration;steering;isValid;
1513176471.542728;1513176471.542728;1513176471.542839;3;-0.009832552;1;
1513176471.552831;1513176471.552831;1513176471.552933;3;-0.009769973;1;
1513176471.562641;1513176471.562641;1513176471.562701;3;-0.00970752;1;
1513176471.573058;1513176471.573058;1513176471.57318;3;-0.009644306;1;
1513176471.582729;1513176471.582729;1513176471.582847;3;-0.009581218;1;
1513176471.592929;1513176471.592929;1513176471.593026;3;-0.009518257;1;
1513176471.603294;1513176471.603294;1513176471.603394;3;-0.009455422;1;
1513176471.612716;1513176471.612716;1513176471.612829;3;-0.009392712;1;
1513176471.622713;1513176471.622713;1513176471.622773;3;-0.009330128;1;
1513176471.632707;1513176471.632707;1513176471.632824;3;-0.009267669;1;
1513176471.64328;1513176471.64328;1513176471.643382;3;-0.009205336;1;
1513176471.652628;1513176471.652628;1513176471.652688;3;-0.009140989;1;
1513176471.663193;1513176471.663193;1513176471.663267;3;-0.00907677;1;
1513176471.673176;1513176471.673176;1513176471.673295;3;-0.009012681;1;
1513176471.682689;1513176471.682689;1513176471.682804;3;-0.00894872;1;
1513176471.693156;1513176471.693156;1513176471.69328;3;-0.008884886;1;
1513176471.703192;1513176471.703192;1513176471.703295;3;-0.00882118;1;
1513176471.713332;1513176471.713332;1513176471.713527;3;-0.008757484;1;
1513176471.72353;1513176471.72353;1513176471.723638;3;-0.008693916;1;
1513176471.732999;1513176471.732999;1513176471.733113;3;-0.008630474;1;
1513176471.742935;1513176471.742935;1513176471.743038;3;-0.00856716;1;
1513176471.754101;1513176471.754101;1513176471.75421;3;-0.008503972;1;
1513176471.762805;1513176471.762805;1513176471.762873;3;-0.008440911;1;
1513176471.772842;1513176471.772842;1513176471.772945;3;-0.008377975;1;
1513176471.782915;1513176471.782915;1513176471.783044;3;-0.008315166;1;
1513176471.792835;1513176471.792835;1513176471.792942;3;-0.008247908;1;
1513176471.802853;1513176471.802853;1513176471.802962;3;-0.008180741;1;
1513176471.81277;1513176471.81277;1513176471.81296;3;-0.008113649;1;
1513176471.822758;1513176471.822758;1513176471.822871;3;-0.008047173;1;
1513176471.832755;1513176471.832755;1513176471.832875;3;-0.007980831;1;
1513176471.843025;1513176471.843025;1513176471.843163;3;-0.007914786;1;
1513176471.852797;1513176471.852797;1513176471.852917;3;-0.007849035;1;
1513176471.863354;1513176471.863354;1513176471.863469;3;-0.007783415;1;
1513176471.873086;1513176471.873086;1513176471.873248;3;-0.007717913;1;
1513176471.882785;1513176471.882785;1513176471.882889;3;-0.00765245;1;
1513176471.892938;1513176471.892938;1513176471.893097;3;-0.007587118;1;
1513176471.902758;1513176471.902758;1513176471.902915;3;-0.007521917;1;
1513176471.912995;1513176471.912995;1513176471.913152;3;-0.007456846;1;
1513176471.922914;1513176471.922914;1513176471.923017;3;-0.007391904;1;
1513176471.932899;1513176471.932899;1513176471.933059;3;-0.007327093;1;
1513176471.943017;1513176471.943017;1513176471.943117;3;-0.007262412;1;
1513176471.952741;1513176471.952741;1513176471.952861;3;-0.00719786;1;
1513176471.962658;1513176471.962658;1513176471.962758;3;-0.007132946;1;
1513176471.97277;1513176471.97277;1513176471.973138;3;-0.007068162;1;
1513176471.983099;1513176471.983099;1513176471.983207;3;-0.007003508;1;
1513176471.993443;1513176471.993443;1513176471.993603;3;-0.006938982;1;
1513176472.002916;1513176472.002916;1513176472.003017;3;-0.006874586;1;
1513176472.013117;1513176472.013117;1513176472.013279;3;-0.006810319;1;
1513176472.023063;1513176472.023063;1513176472.023261;3;-0.00674618;1;
1513176472.032831;1513176472.032831;1513176472.032944;3;-0.00668217;1;
1513176472.042829;1513176472.042829;1513176472.04299;3;-0.006618287;1;
1513176472.05277;1513176472.05277;1513176472.052931;3;-0.006555275;1;
1513176472.062839;1513176472.062839;1513176472.062979;3;-0.006492389;1;
1513176472.072852;1513176472.072852;1513176472.073174;3;-0.006429525;1;
1513176472.083521;1513176472.083521;1513176472.083835;3;-0.006366787;1;
1513176472.092827;1513176472.092827;1513176472.092934;3;-0.006304173;1;
1513176472.102659;1513176472.102659;1513176472.102767;3;-0.006241685;1;
1513176472.113087;1513176472.113087;1513176472.113198;3;-0.006179322;1;
1513176472.123151;1513176472.123151;1513176472.123253;3;-0.006117084;1;
1513176472.132756;1513176472.132756;1513176472.133161;3;-0.006052352;1;
1513176472.143698;1513176472.143698;1513176472.143868;3;-0.005987749;1;
1513176472.154069;1513176472.154069;1513176472.154177;3;-0.005923275;1;
1513176472.162776;1513176472.162776;1513176472.162879;3;-0.00585893;1;
1513176472.17352;1513176472.17352;1513176472.173626;3;-0.005794714;1;
1513176472.188442;1513176472.188442;1513176472.188564;3;-0.005730627;1;
1513176472.192652;1513176472.192652;1513176472.192818;3;-0.005666667;1;
1513176472.203713;1513176472.203713;1513176472.204347;3;-0.005602835;1;
1513176472.213925;1513176472.213925;1513176472.217268;3;-0.005539131;1;
1513176472.223754;1513176472.223754;1513176472.224167;3;-0.005475555;1;
1513176472.232983;1513176472.232983;1513176472.233186;3;-0.005412105;1;
1513176472.242805;1513176472.242805;1513176472.242915;3;-0.005348783;1;
1513176472.257122;1513176472.257122;1513176472.257223;3;-0.005285588;1;
1513176472.262856;1513176472.262856;1513176472.263041;3;-0.005222518;1;
1513176472.273594;1513176472.273594;1513176472.273713;3;-0.005159575;1;
1513176472.282741;1513176472.282741;1513176472.283137;3;-0.005094905;1;
1513176472.293626;1513176472.293626;1513176472.29403;3;-0.005030366;1;
1513176472.303416;1513176472.303416;1513176472.303518;3;-0.004967731;1;
1513176472.313419;1513176472.313419;1513176472.313531;3;-0.004905223;1;
1513176472.323445;1513176472.323445;1513176472.323559;3;-0.004846647;1;
1513176472.333328;1513176472.333328;1513176472.333439;3;-0.004788189;1;
1513176472.346187;1513176472.346187;1513176472.34891;3;-0.004729848;1;
1513176472.353267;1513176472.353267;1513176472.353898;3;-0.004671623;1;
1513176472.363712;1513176472.363712;1513176472.364363;3;-0.004613515;1;
1513176472.373768;1513176472.373768;1513176472.373916;3;-0.004555523;1;
1513176472.382952;1513176472.382952;1513176472.38307;3;-0.004497647;1;
1513176472.393014;1513176472.393014;1513176472.393106;3;-0.004439887;1;
1513176472.40268;1513176472.40268;1513176472.402793;3;-0.004382242;1;
1513176472.412657;1513176472.412657;1513176472.41276;3;-0.004324713;1;
1513176472.42282;1513176472.42282;1513176472.422936;3;-0.004267299;1;
1513176472.432853;1513176472.432853;1513176472.432955;3;-0.004214404;1;
1513176472.443686;1513176472.443686;1513176472.443809;3;-0.004161615;1;
1513176472.452826;1513176472.452826;1513176472.452926;3;-0.004108932;1;
1513176472.463071;1513176472.463071;1513176472.463173;3;-0.004056355;1;
1513176472.473372;1513176472.473372;1513176472.473476;3;-0.004003828;1;
1513176472.489303;1513176472.489303;1513176472.489638;3;-0.003951407;1;
1513176472.492878;1513176472.492878;1513176472.49304;3;-0.003899091;1;
1513176472.502744;1513176472.502744;1513176472.502846;3;-0.003846879;1;
1513176472.512656;1513176472.512656;1513176472.512759;3;-0.003794772;1;
1513176472.523533;1513176472.523533;1513176472.523641;3;-0.003742769;1;
1513176472.536145;1513176472.536145;1513176472.536253;3;-0.00369087;1;
1513176472.542672;1513176472.542672;1513176472.542772;3;-0.003639075;1;
1513176472.552701;1513176472.552701;1513176472.552847;3;-0.003587383;1;
1513176472.564668;1513176472.564668;1513176472.565256;3;-0.003535795;1;
1513176472.573195;1513176472.573195;1513176472.574035;3;-0.00348431;1;
1513176472.584092;1513176472.584092;1513176472.584987;2.982952;-0.003434159;1;
1513176472.593187;1513176472.593187;1513176472.594407;2.990741;-0.003384108;1;
1513176472.603458;1513176472.603458;1513176472.603564;3;-0.003334157;1;
1513176472.613971;1513176472.613971;1513176472.616113;3;-0.003284306;1;
1513176472.625952;1513176472.625952;1513176472.626068;3;-0.003234555;1;
1513176472.63493;1513176472.63493;1513176472.635045;3;-0.003184903;1;
1513176472.642868;1513176472.642868;1513176472.642967;3;-0.00313535;1;
1513176472.652676;1513176472.652676;1513176472.65278;2.989816;-0.003085897;1;
1513176472.663193;1513176472.663193;1513176472.663296;3;-0.003036542;1;
1513176472.674246;1513176472.674246;1513176472.67459;3;-0.002987287;1;
1513176472.682694;1513176472.682694;1513176472.682799;3;-0.002938129;1;
1513176472.692689;1513176472.692689;1513176472.692789;3;-0.002886626;1;
1513176472.702987;1513176472.702987;1513176472.703116;3;-0.002835152;1;
1513176472.712715;1513176472.712715;1513176472.712812;3;-0.002783782;1;
1513176472.7227;1513176472.7227;1513176472.722852;3;-0.002731685;1;
1513176472.732741;1513176472.732741;1513176472.73286;3;-0.002679504;1;
1513176472.742654;1513176472.742654;1513176472.74281;3;-0.002627427;1;
1513176472.753547;1513176472.753547;1513176472.753674;3;-0.002575365;1;
1513176472.764725;1513176472.764725;1513176472.764827;3;-0.002523392;1;
1513176472.773018;1513176472.773018;1513176472.773331;3;-0.002471523;1;
1513176472.782661;1513176472.782661;1513176472.782759;3;-0.00242017;1;
1513176472.793041;1513176472.793041;1513176472.793145;3;-0.002368919;1;
1513176472.802832;1513176472.802832;1513176472.802938;3;-0.002317771;1;
1513176472.81268;1513176472.81268;1513176472.812782;3;-0.002266726;1;
1513176472.823076;1513176472.823076;1513176472.823182;3;-0.0022168;1;
1513176472.83326;1513176472.83326;1513176472.833365;3;-0.002166975;1;
1513176472.843006;1513176472.843006;1513176472.843107;2.887316;-0.002117248;1;
