SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;t1;t2;t3;t4;v1;v2;v3;v4;t;s;scal;commandAcc;commandAcc2;commandV;commandV2;acctime;mindistance;maxdistance;averagedistance;desireda;mm;
1513176487.224823;1513176487.224823;1513176487.225286;3.842691800713692;9.023802999999999;9.023802999999999;0;7.971296042400001;7.971296042400001;11.11111111111111;11.11111111111111;9.023802999999999;80.06527064939077;80.06527064939077;0;0;0;0;1.569907534355555;74.39601480772359;97.79986811135143;86.09794145953751;0;1;
1513176488.221636;1513176488.221636;1513176488.223813;0.9054879060713966;8.021677;8.021677;0;7.416165816;7.416165816;11.11111111111111;11.11111111111111;8.021677;72.63705146025968;72.63705146025968;0;0;0;0;1.847472647555555;62.90324193785936;85.71658926097851;74.30991559941894;0;1;
1513176489.21954;1513176489.21954;1513176489.219718;0.2660150800886148;7.023848;7.023848;0;7.615899436298049;7.615899436298049;11.11111111111111;11.11111111111111;7.023848;65.30294828289833;65.30294828289833;0;0;0;0;1.747605837406531;56.54704618678056;74.98862939261817;65.76783778969936;0;1;
1513176490.224114;1513176490.224114;1513176490.224227;0.2229059495615826;6.022569;6.022569;0;8.019410000000001;8.019410000000001;11.11111111111111;11.11111111111111;6.022569;57.26286241284525;57.26286241284526;0;0;0;0;1.545850555555555;50.68710400440142;64.52777939322191;57.60744169881166;0;1;
1513176491.220253;1513176491.220253;1513176491.220355;0.7978543271619016;5.022521;5.022521;0;8.725220329537679;8.725220329537679;11.11111111111111;11.11111111111111;5.022521;48.86239896970238;48.86239896970238;0;0;0;0;1.192945390786716;45.24572104012919;54.38267018348962;49.81419561180941;0;1;
1513176492.226875;1513176492.226875;1513176492.227004;1.188786364477911;4.023659;4.023659;0;9.206154836254822;9.206154836254822;11.11111111111111;11.11111111111111;4.023659;39.74258197001834;39.74258197001834;0;0;0;0;0.9524781374281446;37.94964236456883;43.80010761994364;40.87487499225623;0;1;
1513176493.224118;1513176493.224118;1513176493.224216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176494.226671;1513176494.226671;1513176494.226774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176495.218488;1513176495.218488;1513176495.21868;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176496.218377;1513176496.218377;1513176496.218504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176497.219933;1513176497.219933;1513176497.220597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176498.219081;1513176498.219081;1513176498.219246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176499.219349;1513176499.219349;1513176499.219458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176500.218414;1513176500.218414;1513176500.218566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176501.218708;1513176501.218708;1513176501.218842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
