SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;latitude;longitude;
1513176470.912333;1513176470.912333;1513176470.912396;57.77346206663668;12.76642086197361;
1513176470.992566;1513176470.992566;1513176470.993075;57.77346170531887;12.7664230668221;
1513176471.046207;1513176471.046207;1513176471.046317;57.77346133618625;12.7664253219438;
1513176471.109364;1513176471.109364;1513176471.109468;57.77346095896744;12.76642762667632;
1513176471.271124;1513176471.271124;1513176471.271231;57.77346057593628;12.76642997145425;
1513176471.309815;1513176471.309815;1513176471.309986;57.77346038102723;12.76643116326555;
1513176471.388864;1513176471.388864;1513176471.388963;57.77345998500481;12.76643358748397;
1513176471.469204;1513176471.469204;1513176471.469305;57.77345958044007;12.76643606634654;
1513176471.548951;1513176471.548951;1513176471.549046;57.77345916636625;12.76643859985753;
1513176471.628739;1513176471.628739;1513176471.628839;57.77345874261815;12.76644118678424;
1513176471.688768;1513176471.688768;1513176471.68887;57.77345852692843;12.76644250048648;
1513176471.761992;1513176471.761992;1513176471.762162;57.7734580884206;12.76644516603274;
1513176471.775451;1513176471.775451;1513176471.775556;57.77345764151019;12.76644788520302;
1513176471.783;1513176471.783;1513176471.783323;57.77345718739433;12.76645065782748;
1513176471.792934;1513176471.792934;1513176471.793409;57.77345672620905;12.76645348171262;
1513176471.809351;1513176471.809351;1513176471.809455;57.77345625549642;12.76645635560055;
1513176471.827729;1513176471.827729;1513176471.828351;57.77345577575082;12.76645927778157;
1513176471.849539;1513176471.849539;1513176471.849643;57.77345528827655;12.76646224856321;
1513176471.86337;1513176471.86337;1513176471.863842;57.77345479334935;12.76646526499971;
1513176471.942242;1513176471.942242;1513176471.942339;57.77345429174206;12.76646832742026;
1513176472.019426;1513176472.019426;1513176472.019527;57.7734537833684;12.76647143569338;
1513176472.046955;1513176472.046955;1513176472.04706;57.77345326737797;12.76647458631932;
1513176472.112633;1513176472.112633;1513176472.112735;57.77345274249285;12.766477773002;
1513176472.169191;1513176472.169191;1513176472.169295;57.77345221274023;12.76648099410701;
1513176472.18043;1513176472.18043;1513176472.18054;57.77345167798013;12.7664842561007;
1513176472.192668;1513176472.192668;1513176472.19277;57.77345113940762;12.76648755704898;
1513176472.199702;1513176472.199702;1513176472.199799;57.77345059413055;12.76649089881475;
1513176472.20619;1513176472.20619;1513176472.206282;57.7734500422483;12.76649428359563;
1513176472.215789;1513176472.215789;1513176472.216289;57.77344948690006;12.76649771120602;
1513176472.29275;1513176472.29275;1513176472.29832;57.77344892489326;12.7665011837873;
1513176472.411165;1513176472.411165;1513176472.412622;57.77344835561589;12.76650469713997;
1513176472.451078;1513176472.451078;1513176472.451225;57.77344806828719;12.76650647008281;
1513176472.534005;1513176472.534005;1513176472.534113;57.77344748749004;12.76651004561076;
1513176472.612023;1513176472.612023;1513176472.615092;57.77344690000059;12.76651365442531;
1513176472.631921;1513176472.631921;1513176472.633642;57.77344630846009;12.76651728625338;
1513176472.665258;1513176472.665258;1513176472.665364;57.77344571405425;12.76652093839689;
1513176472.685108;1513176472.685108;1513176472.685534;57.77344541634972;12.76652277096223;
1513176472.702245;1513176472.702245;1513176472.702376;57.77344481878276;12.7665264468017;
1513176472.714891;1513176472.714891;1513176472.71506;57.773444220087;12.76653013578886;
1513176472.726702;1513176472.726702;1513176472.726854;57.77344362039787;12.76653383394396;
1513176472.739341;1513176472.739341;1513176472.73947;57.77344302052289;12.76653753769755;
1513176472.799024;1513176472.799024;1513176472.799129;57.77344212259554;12.76654309859731;
1513176472.878753;1513176472.878753;1513176472.879978;57.77344152557989;12.76654680738597;
1513176472.95889;1513176472.95889;1513176472.958993;57.77344092914726;12.76655051621113;
1513176473.034332;1513176473.034332;1513176473.034442;57.77344033126862;12.76655422484951;
1513176473.058498;1513176473.058498;1513176473.058601;57.77343973329376;12.76655793258026;
1513176473.067406;1513176473.067406;1513176473.067508;57.77343913654641;12.76656163577687;
1513176473.102836;1513176473.102836;1513176473.104667;57.77343854054801;12.76656533219653;
1513176473.128582;1513176473.128582;1513176473.129468;57.77343794714432;12.76656901772115;
1513176473.154434;1513176473.154434;1513176473.154543;57.77343735576655;12.76657269122089;
1513176473.179179;1513176473.179179;1513176473.179311;57.77343676521481;12.76657635363837;
1513176473.201243;1513176473.201243;1513176473.201354;57.77343617604416;12.76658000543014;
