SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;positionX;positionY;velocityX;velocityY;orientation;yawRate;
1513176470.898938;1513176470.898938;1513176470.899071;0;0;0;0;0;0;
1513176470.900694;1513176470.900694;1513176470.900801;0;0;0;0;0;0;
1513176470.909468;1513176470.909468;1513176470.909567;0;0;0;0;0;0;
1513176470.924301;1513176470.924301;1513176470.924404;-28.07844206622;8.311259484848723;3.3626;0;0;0;
1513176470.930543;1513176470.930543;1513176470.930636;-28.07844206622;8.311259484848723;3.3626;0;0;0;
1513176470.93943;1513176470.93943;1513176470.939541;-28.07844206622;8.311259484848723;3.3626;0;0;0;
1513176470.950634;1513176470.950634;1513176470.950741;-28.07844206622;8.311259484848723;3.3626;0;0;0;
1513176470.960063;1513176470.960063;1513176470.960169;-28.07844206622;8.311259484848723;3.3626;0;0;0;
1513176470.969565;1513176470.969565;1513176470.969725;-28.07844206622;8.311259484848723;3.377897484;0;0;0;
1513176470.979419;1513176470.979419;1513176470.979487;-28.07844206622;8.311259484848723;3.377897484;0;0;0;
1513176470.989414;1513176470.989414;1513176470.989479;-28.07844206622;8.311259484848723;3.377897484;0;0;0;
1513176470.999428;1513176470.999428;1513176470.999531;-27.973843303414;8.279176796898826;3.377897484;0;-0.2976118309096141;0;
1513176471.009836;1513176471.009836;1513176471.009951;-27.973843303414;8.279176796898826;3.393629505459;0;-0.2976118309096141;0;
1513176471.019617;1513176471.019617;1513176471.019724;-27.973843303414;8.279176796898826;3.393629505459;0;-0.2976118309096141;0;
1513176471.029654;1513176471.029654;1513176471.029716;-27.973843303414;8.279176796898826;3.393629505459;0;-0.2976118309096141;0;
1513176471.039417;1513176471.039417;1513176471.039516;-27.973843303414;8.279176796898826;3.393629505459;0;-0.2976118309096141;0;
1513176471.049415;1513176471.049415;1513176471.05021;-27.88814761937606;8.252917241392243;3.393629505459;0;-0.2976118309096141;0;
1513176471.059409;1513176471.059409;1513176471.059476;-27.88814761937606;8.252917241392243;3.393629505459;0;-0.2976118309096141;0;
1513176471.069363;1513176471.069363;1513176471.069431;-27.88814761937606;8.252917241392243;3.435367183598113;0;-0.2976118309096141;0;
1513176471.079433;1513176471.079433;1513176471.079503;-27.88814761937606;8.252917241392243;3.435367183598113;0;-0.2976118309096141;0;
1513176471.089407;1513176471.089407;1513176471.089483;-27.88814761937606;8.252917241392243;3.435367183598113;0;-0.2976118309096141;0;
1513176471.099468;1513176471.099468;1513176471.099593;-27.88814761937606;8.252917241392243;3.435367183598113;0;-0.2976118309096141;0;
1513176471.109621;1513176471.109621;1513176471.109728;-27.88814761937606;8.252917241392243;3.451769955863421;0;-0.2976118309096141;0;
1513176471.119493;1513176471.119493;1513176471.11957;-27.75184235579932;8.211157083680233;3.451769955863421;0;-0.2973122917287075;0;
1513176471.1294;1513176471.1294;1513176471.129461;-27.75184235579932;8.211157083680233;3.451769955863421;0;-0.2973122917287075;0;
1513176471.139414;1513176471.139414;1513176471.139628;-27.75184235579932;8.211157083680233;3.466722240640917;0;-0.2973122917287075;0;
1513176471.150031;1513176471.150031;1513176471.150144;-27.75184235579932;8.211157083680233;3.466722240640917;0;-0.2973122917287075;0;
1513176471.159669;1513176471.159669;1513176471.159777;-27.75184235579932;8.211157083680233;3.466722240640917;0;-0.2973122917287075;0;
1513176471.171032;1513176471.171032;1513176471.171141;-27.75184235579932;8.211157083680233;3.4807150334235;0;-0.2973122917287075;0;
1513176471.179415;1513176471.179415;1513176471.179515;-27.75184235579932;8.211157083680233;3.4807150334235;0;-0.2973122917287075;0;
1513176471.189417;1513176471.189417;1513176471.189537;-27.75184235579932;8.211157083680233;3.4807150334235;0;-0.2973122917287075;0;
1513176471.199427;1513176471.199427;1513176471.199526;-27.75184235579932;8.211157083680233;3.4807150334235;0;-0.2973122917287075;0;
1513176471.209413;1513176471.209413;1513176471.209515;-27.75184235579932;8.211157083680233;3.4807150334235;0;-0.2973122917287075;0;
1513176471.220013;1513176471.220013;1513176471.220124;-27.75184235579932;8.211157083680233;3.4807150334235;0;-0.2973122917287075;0;
1513176471.229477;1513176471.229477;1513176471.22958;-27.75184235579932;8.211157083680233;3.4807150334235;0;-0.2973122917287075;0;
1513176471.239538;1513176471.239538;1513176471.239819;-27.75184235579932;8.211157083680233;3.516038582779437;0;-0.2973122917287075;0;
1513176471.249907;1513176471.249907;1513176471.25002;-27.75184235579932;8.211157083680233;3.516038582779437;0;-0.2973122917287075;0;
1513176471.260206;1513176471.260206;1513176471.260316;-27.75184235579932;8.211157083680233;3.527663447062689;0;-0.2973122917287075;0;
1513176471.269435;1513176471.269435;1513176471.269546;-27.75184235579932;8.211157083680233;3.527663447062689;0;-0.2973122917287075;0;
1513176471.279432;1513176471.279432;1513176471.279623;-27.53637584148023;8.145231003902392;3.527663447062689;0;-0.2970668098520657;0;
1513176471.289471;1513176471.289471;1513176471.289731;-27.53637584148023;8.145231003902392;3.527663447062689;0;-0.2970668098520657;0;
1513176471.299504;1513176471.299504;1513176471.299628;-27.53637584148023;8.145231003902392;3.527663447062689;0;-0.2970668098520657;0;
1513176471.310189;1513176471.310189;1513176471.310296;-27.53637584148023;8.145231003902392;3.527663447062689;0;-0.2970668098520657;0;
1513176471.320922;1513176471.320922;1513176471.321061;-27.50912144088063;8.136888536256134;3.527663447062689;0;-0.2970668098520657;0;
1513176471.329435;1513176471.329435;1513176471.330155;-27.50912144088063;8.136888536256134;3.590238732711386;0;-0.2970668098520657;0;
