SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;velocity;
1513176471.218349;1513176471.218349;1513176471.218513;11.11111111111111;
1513176472.219095;1513176472.219095;1513176472.2203;11.11111111111111;
1513176473.222455;1513176473.222455;1513176473.224231;11.11111111111111;
1513176474.220247;1513176474.220247;1513176474.220648;11.11111111111111;
1513176475.219934;1513176475.219934;1513176475.220059;11.11111111111111;
1513176476.218379;1513176476.218379;1513176476.218573;11.11111111111111;
1513176477.218375;1513176477.218375;1513176477.218541;11.11111111111111;
1513176478.22215;1513176478.22215;1513176478.222285;11.11111111111111;
1513176479.219203;1513176479.219203;1513176479.21931;11.11111111111111;
1513176480.223653;1513176480.223653;1513176480.223795;11.11111111111111;
