SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;groundSpeed;
1513176476.106405;1513176476.106405;1513176476.106571;5.470090000000001;
1513176476.152887;1513176476.152887;1513176476.154548;5.708600000000001;
1513176476.169693;1513176476.169693;1513176476.169804;5.70469;
1513176476.27418;1513176476.27418;1513176476.27428;5.81026;
1513176476.305073;1513176476.305073;1513176476.306651;5.82981;
1513176476.42222;1513176476.42222;1513176476.422327;6.193440000000001;
1513176476.444411;1513176476.444411;1513176476.445109;6.240360000000001;
1513176476.58497;1513176476.58497;1513176476.585077;6.34984;
1513176476.61103;1513176476.61103;1513176476.61114;6.35766;
1513176476.702282;1513176476.702282;1513176476.702725;6.377210000000001;
1513176476.952005;1513176476.952005;1513176476.953776;6.447590000000001;
1513176477.056928;1513176477.056928;1513176477.057089;6.5688;
1513176477.101523;1513176477.101523;1513176477.103798;6.58053;
1513176477.199702;1513176477.199702;1513176477.199809;6.61572;
1513176477.255431;1513176477.255431;1513176477.25572;6.639180000000001;
1513176477.411895;1513176477.411895;1513176477.412006;6.905060000000001;
1513176477.421223;1513176477.421223;1513176477.421289;6.905060000000001;
1513176477.457283;1513176477.457283;1513176477.457389;7.018450000000001;
1513176477.478646;1513176477.478646;1513176477.478751;7.057550000000001;
1513176477.880433;1513176477.880433;1513176477.880837;7.93339;
1513176477.986717;1513176477.986717;1513176477.989036;8.29311;
1513176478.166604;1513176478.166604;1513176478.166723;8.523800000000001;
1513176478.253428;1513176478.253428;1513176478.253557;8.64892;
1513176478.262484;1513176478.262484;1513176478.26259;8.645010000000001;
1513176478.310499;1513176478.310499;1513176478.310612;8.71148;
1513176478.341439;1513176478.341439;1513176478.341558;8.754490000000001;
1513176478.401764;1513176478.401764;1513176478.401871;9.059470000000001;
1513176478.426831;1513176478.426831;1513176478.427029;9.1494;
1513176478.460171;1513176478.460171;1513176478.46028;9.16113;
1513176478.4899;1513176478.4899;1513176478.490029;9.17286;
1513176478.53028;1513176478.53028;1513176478.530344;9.168950000000001;
1513176478.550151;1513176478.550151;1513176478.550253;9.200230000000001;
1513176478.586568;1513176478.586568;1513176478.58671;9.251060000000001;
1513176478.606234;1513176478.606234;1513176478.606987;9.29016;
1513176478.64194;1513176478.64194;1513176478.642062;9.368360000000001;
1513176478.662234;1513176478.662234;1513176478.662326;9.356630000000001;
1513176478.723817;1513176478.723817;1513176478.723932;9.567770000000001;
1513176478.746328;1513176478.746328;1513176478.746448;9.661610000000001;
1513176478.759295;1513176478.759295;1513176478.759401;9.68116;
1513176478.773648;1513176478.773648;1513176478.773778;9.71635;
1513176478.782637;1513176478.782637;1513176478.782743;9.731990000000001;
1513176478.946206;1513176478.946206;1513176478.946322;9.794550000000001;
1513176479.218356;1513176479.218356;1513176479.218421;9.84929;
1513176479.251085;1513176479.251085;1513176479.251402;9.853200000000001;
1513176479.30513;1513176479.30513;1513176479.305194;9.84929;
1513176479.351991;1513176479.351991;1513176479.352134;9.880570000000001;
1513176479.493856;1513176479.493856;1513176479.493977;9.958770000000001;
1513176479.597719;1513176479.597719;1513176479.597805;10.03697;
1513176479.620686;1513176479.620686;1513176479.621199;10.05652;
1513176479.679949;1513176479.679949;1513176479.680114;10.07998;
1513176479.714574;1513176479.714574;1513176479.714648;10.13081;
1513176479.743098;1513176479.743098;1513176479.743204;10.11126;
1513176479.92551;1513176479.92551;1513176479.925626;10.15818;
1513176479.958389;1513176479.958389;1513176479.958496;10.16991;
1513176480.004712;1513176480.004712;1513176480.004816;10.21292;
1513176480.107737;1513176480.107737;1513176480.107841;10.58437;
1513176480.4798;1513176480.4798;1513176480.479951;10.99883;
1513176480.495903;1513176480.495903;1513176480.495966;11.0262;
1513176480.50068;1513176480.50068;1513176480.50079;11.04575;
1513176480.519693;1513176480.519693;1513176480.51983;11.0653;
1513176480.550438;1513176480.550438;1513176480.550572;11.07703;
1513176480.570624;1513176480.570624;1513176480.570686;11.08485;
1513176480.609792;1513176480.609792;1513176480.609925;11.20215;
1513176480.63005;1513176480.63005;1513176480.630129;11.24907;
1513176480.798342;1513176480.798342;1513176480.798472;11.2999;
1513176480.898092;1513176480.898092;1513176480.8982;11.30772;
1513176480.947239;1513176480.947239;1513176480.947349;11.35464;
1513176480.963787;1513176480.963787;1513176480.963897;11.33118;
1513176481.007296;1513176481.007296;1513176481.007413;11.40156;
1513176481.01604;1513176481.01604;1513176481.016406;11.40156;
1513176481.031363;1513176481.031363;1513176481.031838;11.39765;
1513176481.087137;1513176481.087137;1513176481.08725;11.48367;
1513176481.215733;1513176481.215733;1513176481.21585;11.55014;
1513176481.445104;1513176481.445104;1513176481.44521;11.62834;
1513176481.45931;1513176481.45931;1513176481.459421;11.62834;
1513176481.489122;1513176481.489122;1513176481.491367;11.65962;
1513176481.680977;1513176481.680977;1513176481.681084;11.73;
1513176481.738837;1513176481.738837;1513176481.738946;11.73391;
1513176481.769353;1513176481.769353;1513176481.769459;11.73391;
1513176481.7893;1513176481.7893;1513176481.790343;11.70263;
1513176481.810879;1513176481.810879;1513176481.810951;11.74564;
1513176481.860577;1513176481.860577;1513176481.860684;11.73782;
1513176481.961614;1513176481.961614;1513176481.962075;11.69872;
1513176481.99091;1513176481.99091;1513176481.991039;11.73391;
1513176482.012079;1513176482.012079;1513176482.012186;11.73;
1513176482.025626;1513176482.025626;1513176482.026833;11.70263;
1513176482.056899;1513176482.056899;1513176482.057006;11.69481;
1513176482.061781;1513176482.061781;1513176482.061903;11.68699;
1513176482.07578;1513176482.07578;1513176482.076168;11.69481;
1513176482.240879;1513176482.240879;1513176482.245318;11.68308;
1513176482.309968;1513176482.309968;1513176482.317954;11.6909;
1513176482.344778;1513176482.344778;1513176482.344896;11.69481;
1513176482.440447;1513176482.440447;1513176482.440553;11.67526;
1513176482.474321;1513176482.474321;1513176482.474429;11.69481;
1513176482.501121;1513176482.501121;1513176482.501225;11.69872;
1513176482.749243;1513176482.749243;1513176482.750275;11.65962;
1513176482.76618;1513176482.76618;1513176482.767199;11.63225;
1513176482.781073;1513176482.781073;1513176482.781191;11.64789;
1513176482.807525;1513176482.807525;1513176482.80766;11.65962;
1513176482.826412;1513176482.826412;1513176482.826472;11.66744;
1513176482.840481;1513176482.840481;1513176482.840596;11.6518;
1513176482.894001;1513176482.894001;1513176482.894115;11.64398;
1513176482.912454;1513176482.912454;1513176482.912568;11.64007;
1513176483.000526;1513176483.000526;1513176483.000635;11.64007;
1513176483.050891;1513176483.050891;1513176483.051006;11.62834;
1513176483.132014;1513176483.132014;1513176483.132147;11.62834;
1513176483.184068;1513176483.184068;1513176483.184131;11.59706;
1513176483.289045;1513176483.289045;1513176483.289186;11.53059;
1513176483.310839;1513176483.310839;1513176483.310903;11.51104;
1513176483.463596;1513176483.463596;1513176483.463702;11.4563;
1513176483.49365;1513176483.49365;1513176483.493729;11.43284;
1513176483.534258;1513176483.534258;1513176483.534392;11.41329;
1513176483.543321;1513176483.543321;1513176483.543439;11.42502;
1513176483.585378;1513176483.585378;1513176483.58547;11.39765;
1513176483.6024;1513176483.6024;1513176483.602621;11.38983;
1513176483.626701;1513176483.626701;1513176483.626809;11.38592;
1513176483.665733;1513176483.665733;1513176483.665859;11.35073;
1513176483.694837;1513176483.694837;1513176483.695044;11.33509;
1513176483.789469;1513176483.789469;1513176483.78987;11.28426;
1513176483.886664;1513176483.886664;1513176483.886775;11.26471;
1513176483.912412;1513176483.912412;1513176483.913647;11.23343;
1513176483.972646;1513176483.972646;1513176483.972753;11.19824;
1513176484.073106;1513176484.073106;1513176484.073169;11.05357;
1513176484.07706;1513176484.07706;1513176484.077198;11.01056;
1513176484.115497;1513176484.115497;1513176484.115616;10.98319;
1513176484.135587;1513176484.135587;1513176484.135696;10.99101;
1513176484.160428;1513176484.160428;1513176484.160536;10.948;
1513176484.195334;1513176484.195334;1513176484.195444;10.8698;
1513176484.221732;1513176484.221732;1513176484.2218;10.80724;
1513176484.240516;1513176484.240516;1513176484.240624;10.81506;
1513176484.411617;1513176484.411617;1513176484.412662;10.79551;
1513176484.499907;1513176484.499907;1513176484.500017;10.75641;
1513176484.609532;1513176484.609532;1513176484.609637;10.72513;
1513176484.697669;1513176484.697669;1513176484.697777;10.65475;
1513176484.73991;1513176484.73991;1513176484.74005;10.53745;
1513176484.755235;1513176484.755235;1513176484.755362;10.51008;
1513176484.762513;1513176484.762513;1513176484.762625;10.52181;
1513176484.926329;1513176484.926329;1513176484.926444;10.42015;
1513176485.127856;1513176485.127856;1513176485.127969;10.40451;
1513176485.219495;1513176485.219495;1513176485.219602;10.40842;
1513176485.427919;1513176485.427919;1513176485.428026;10.29894;
1513176485.452099;1513176485.452099;1513176485.452203;10.29112;
1513176485.514944;1513176485.514944;1513176485.515071;10.25984;
1513176485.589987;1513176485.589987;1513176485.600088;10.25984;
1513176485.754861;1513176485.754861;1513176485.755434;10.2442;
1513176485.785867;1513176485.785867;1513176485.785974;10.22856;
1513176485.97467;1513176485.97467;1513176485.974784;9.771090000000001;
1513176485.990006;1513176485.990006;1513176485.990118;9.73981;
1513176486.140869;1513176486.140869;1513176486.141037;9.642060000000001;
1513176486.166458;1513176486.166458;1513176486.166564;9.618600000000001;
1513176486.208683;1513176486.208683;1513176486.208815;9.583410000000001;
1513176486.28487;1513176486.28487;1513176486.285923;9.391820000000001;
1513176486.334299;1513176486.334299;1513176486.334444;8.856150000000001;
1513176486.346886;1513176486.346886;1513176486.346998;8.813140000000001;
1513176486.398031;1513176486.398031;1513176486.398159;8.594180000000001;
1513176486.409314;1513176486.409314;1513176486.409382;8.512070000000001;
1513176486.443615;1513176486.443615;1513176486.443728;8.394770000000001;
1513176486.7846;1513176486.7846;1513176486.785732;8.25792;
1513176486.814686;1513176486.814686;1513176486.814895;8.2501;
1513176486.86891;1513176486.86891;1513176486.869027;8.22273;
1513176486.89435;1513176486.89435;1513176486.894465;8.23446;
1513176486.951427;1513176486.951427;1513176486.951537;8.109340000000001;
1513176486.963075;1513176486.963075;1513176486.963183;8.066330000000001;
1513176487.090095;1513176487.090095;1513176487.090211;8.01159;
1513176487.185804;1513176487.185804;1513176487.18591;7.941210000000001;
1513176487.219476;1513176487.219476;1513176487.219578;7.93339;
1513176487.344018;1513176487.344018;1513176487.344147;7.851280000000001;
1513176487.37388;1513176487.37388;1513176487.37399;7.84346;
1513176487.408959;1513176487.408959;1513176487.409911;7.859100000000001;
1513176487.569913;1513176487.569913;1513176487.570031;7.788720000000001;
1513176487.584371;1513176487.584371;1513176487.584992;7.800450000000001;
1513176487.627187;1513176487.627187;1513176487.627295;7.776990000000001;
1513176487.749716;1513176487.749716;1513176487.749825;7.55412;
1513176487.789159;1513176487.789159;1513176487.789234;7.491560000000001;
1513176487.805003;1513176487.805003;1513176487.805065;7.49938;
1513176487.835882;1513176487.835882;1513176487.836732;7.47592;
1513176487.879289;1513176487.879289;1513176487.879411;7.491560000000001;
1513176488.15355;1513176488.15355;1513176488.153691;7.425090000000001;
1513176488.19894;1513176488.19894;1513176488.199046;7.40554;
1513176488.232307;1513176488.232307;1513176488.232413;7.39381;
1513176488.307971;1513176488.307971;1513176488.308082;7.39381;
1513176488.371083;1513176488.371083;1513176488.37119;7.389900000000001;
1513176488.566603;1513176488.566603;1513176488.5668;7.397720000000001;
1513176488.675275;1513176488.675275;1513176488.675382;7.413360000000001;
1513176488.694052;1513176488.694052;1513176488.694165;7.397720000000001;
1513176488.842408;1513176488.842408;1513176488.842517;7.409450000000001;
1513176488.866897;1513176488.866897;1513176488.867365;7.444640000000001;
1513176488.871539;1513176488.871539;1513176488.871673;7.429;
1513176488.962236;1513176488.962236;1513176488.9623;7.479830000000001;
1513176489.015744;1513176489.015744;1513176489.015848;7.52284;
1513176489.039041;1513176489.039041;1513176489.03911;7.53457;
1513176489.054002;1513176489.054002;1513176489.054101;7.55412;
1513176489.0881;1513176489.0881;1513176489.088385;7.53066;
1513176489.106627;1513176489.106627;1513176489.106737;7.550210000000001;
1513176489.176055;1513176489.176055;1513176489.176165;7.655780000000001;
1513176489.411411;1513176489.411411;1513176489.411518;7.71443;
1513176489.48724;1513176489.48724;1513176489.487615;7.7418;
1513176489.511724;1513176489.511724;1513176489.511797;7.73789;
1513176489.819755;1513176489.819755;1513176489.819923;7.90211;
1513176489.848497;1513176489.848497;1513176489.848667;7.91384;
1513176489.898449;1513176489.898449;1513176489.898614;7.93339;
1513176489.970295;1513176489.970295;1513176489.970455;7.976400000000001;
1513176489.979318;1513176489.979318;1513176489.979491;7.972490000000001;
1513176490.02533;1513176490.02533;1513176490.025497;7.99204;
1513176490.045283;1513176490.045283;1513176490.045437;7.94512;
1513176490.192996;1513176490.192996;1513176490.193386;8.019410000000001;
1513176490.229169;1513176490.229169;1513176490.229276;8.031140000000001;
1513176490.260894;1513176490.260894;1513176490.261004;8.03505;
1513176490.3852;1513176490.3852;1513176490.385363;8.28529;
1513176490.395997;1513176490.395997;1513176490.396103;8.29311;
1513176490.402836;1513176490.402836;1513176490.402944;8.29311;
1513176490.42418;1513176490.42418;1513176490.424287;8.324390000000001;
1513176490.484026;1513176490.484026;1513176490.484278;8.422140000000001;
1513176490.811044;1513176490.811044;1513176490.811152;8.51989;
1513176490.834377;1513176490.834377;1513176490.834488;8.53162;
1513176490.851904;1513176490.851904;1513176490.85201;8.547260000000001;
1513176491.080112;1513176491.080112;1513176491.080911;8.71148;
1513176491.157374;1513176491.157374;1513176491.157485;8.72321;
1513176491.19677;1513176491.19677;1513176491.19688;8.738850000000001;
1513176491.226173;1513176491.226173;1513176491.226327;8.731030000000001;
1513176491.305994;1513176491.305994;1513176491.306109;8.774040000000001;
1513176491.319644;1513176491.319644;1513176491.319755;8.785770000000001;
1513176491.344993;1513176491.344993;1513176491.345102;8.79359;
1513176491.396931;1513176491.396931;1513176491.397056;8.820960000000001;
1513176491.411312;1513176491.411312;1513176491.411417;8.832690000000001;
1513176491.447033;1513176491.447033;1513176491.447141;8.926530000000001;
1513176491.611164;1513176491.611164;1513176491.611227;9.02819;
1513176491.775189;1513176491.775189;1513176491.775299;9.02037;
1513176491.813514;1513176491.813514;1513176491.813622;9.06338;
1513176491.838665;1513176491.838665;1513176491.83874;9.07902;
1513176491.874043;1513176491.874043;1513176491.874165;9.129850000000001;
1513176491.887804;1513176491.887804;1513176491.887947;9.141580000000001;
1513176491.948567;1513176491.948567;1513176491.951089;9.180680000000001;
1513176492.042584;1513176492.042584;1513176492.042648;9.19632;
1513176492.08755;1513176492.08755;1513176492.087614;9.227600000000001;
1513176492.288747;1513176492.288747;1513176492.288954;9.27843;
1513176492.316864;1513176492.316864;1513176492.316986;9.297980000000001;
1513176492.506788;1513176492.506788;1513176492.506897;9.30189;
1513176492.548388;1513176492.548388;1513176492.548572;9.309710000000001;
1513176492.750683;1513176492.750683;1513176492.750817;9.509120000000001;
1513176492.842506;1513176492.842506;1513176492.843634;9.5404;
1513176492.921279;1513176492.921279;1513176492.921384;9.559950000000001;
1513176493.158547;1513176493.158547;1513176493.158666;9.66943;
1513176493.175795;1513176493.175795;1513176493.175903;9.638150000000001;
1513176493.184229;1513176493.184229;1513176493.184338;9.653790000000001;
1513176493.421705;1513176493.421705;1513176493.421825;9.85711;
1513176493.490896;1513176493.490896;1513176493.491009;9.87275;
1513176493.618697;1513176493.618697;1513176493.61876;9.927490000000001;
1513176493.680224;1513176493.680224;1513176493.680378;9.950950000000001;
1513176493.692592;1513176493.692592;1513176493.692699;9.962680000000001;
1513176493.733424;1513176493.733424;1513176493.733545;9.982230000000001;
1513176493.849438;1513176493.849438;1513176493.849546;10.00569;
1513176493.962092;1513176493.962092;1513176493.962259;10.03306;
1513176493.998429;1513176493.998429;1513176493.998541;10.04479;
1513176494.07636;1513176494.07636;1513176494.076464;10.07607;
1513176494.09213;1513176494.09213;1513176494.092639;10.07607;
1513176494.225071;1513176494.225071;1513176494.22518;10.13472;
