SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;vehicleID;plannedTrajectory;velocity;distanceToIntersection;
1513176481.218221;1513176481.218221;1513176481.218413;113;WS;11.43469792322111;141.3656361380488;
1513176482.219104;1513176482.219104;1513176482.221407;113;WS;11.69972203416825;130.1229833173583;
1513176483.219526;1513176483.219526;1513176483.219633;113;WS;11.61261824342995;116.7843055546274;
1513176484.219513;1513176484.219513;1513176484.219734;113;WS;10.95509525731859;106.5480953669716;
1513176485.224537;1513176485.224537;1513176485.224853;113;WS;10.40451;97.83624601262592;
1513176486.218878;1513176486.218878;1513176486.219007;113;WS;9.636007320000001;88.2786404301431;
1513176487.218419;1513176487.218419;1513176487.218645;113;WS;7.971296042400001;80.06527064939077;
1513176488.220639;1513176488.220639;1513176488.22079;113;WS;7.416165816;72.63705146025968;
1513176489.218389;1513176489.218389;1513176489.218536;113;WS;7.615899436298049;65.30294828289833;
1513176490.219573;1513176490.219573;1513176490.219693;113;WS;8.019410000000001;57.26286241284525;
1513176491.219647;1513176491.219647;1513176491.219731;113;WS;8.725220329537679;48.86239896970238;
1513176492.21878;1513176492.21878;1513176492.220291;113;WS;9.206154836254822;39.74258197001834;
1513176493.221819;1513176493.221819;1513176493.221922;113;WS;9.66292793178232;29.95888410345668;
1513176494.226442;1513176494.226442;1513176494.226544;113;WS;10.06911855171316;20.20157086330275;
1513176495.218126;1513176495.218126;1513176495.218225;113;WS;10.43763611116286;10.30083835280979;
