SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;positionX;positionY;velocityX;velocityY;orientation;yawRate;
1513353110.33722;1513353110.33722;1513353110.337312;0.04807619269811334;-0.01373607278860568;5;0;-0.2783;0;
1513353110.346846;1513353110.346846;1513353110.346931;0.09615238539622668;-0.02747214557721135;4.999485107856307;-0.01608225390098328;-0.2783;-0.01042999910541883;
1513353110.357008;1513353110.357008;1513353110.357071;0.1441794458815185;-0.04136143855413695;4.998463417632562;-0.02832506370729459;-0.2784042999910542;-0.01865998785010842;
1513353110.366892;1513353110.366892;1513353110.366957;0.1921615880469544;-0.05537064687867836;4.994981460961323;-0.03744240086570438;-0.2785908998695553;-0.02503109028323788;
1513353110.378347;1513353110.378347;1513353110.378391;0.2400825654184161;-0.06946689108189949;4.989275347361088;-0.04410715085517628;-0.2788412107723877;-0.0298922234734244;
1513353110.386763;1513353110.386763;1513353110.386799;0.2879268115156459;-0.08362349761884458;4.981560742791556;-0.04886773140287667;-0.2791401330071219;-0.03353921484456161;
1513353110.396755;1513353110.396755;1513353110.396815;0.3356795470315225;-0.09781891236023847;4.972030972621829;-0.05216052795518412;-0.2794755251555676;-0.03621577890633532;
1513353110.406928;1513353110.406928;1513353110.406989;0.3833268354258644;-0.1120357045443124;4.960864291667858;-0.05432822291580493;-0.2798376829446309;-0.03811979355144953;
1513353110.417242;1513353110.417242;1513353110.417313;0.4308556618055108;-0.1262597430210765;4.948223370894719;-0.05563757860386192;-0.2802188808801454;-0.03941053708026461;
1513353110.428254;1513353110.428254;1513353110.428322;0.4782539627180312;-0.1404795207073953;4.934256549608848;-0.05629512588974715;-0.280612986250948;-0.04021563447222486;
1513353110.437711;1513353110.437711;1513353110.437773;0.5255106296063773;-0.1546856151199906;4.919098982062772;-0.05646017686641944;-0.2810151425956703;-0.04063710990506363;
1513353110.446727;1513353110.446727;1513353110.446763;0.5726154918356925;-0.1688702620682762;4.902873702726363;-0.05625529779793029;-0.2814215136947209;-0.04075643868640574;
1513353110.456795;1513353110.456795;1513353110.456858;0.6195592849064874;-0.1830270206120952;4.885692622647818;-0.05577459696375513;-0.281829078081585;-0.04063867087673738;
1513353110.466873;1513353110.466873;1513353110.466925;0.6663336085975469;-0.1971505104113683;4.867657459491083;-0.05509020605310838;-0.2822354647903523;-0.04033574871411256;
1513353110.47843;1513353110.47843;1513353110.478495;0.7129308788144266;-0.2112362058400402;4.848860605206755;-0.05425732265769427;-0.2826388222774934;-0.03988916111299789;
1513353110.486856;1513353110.486856;1513353110.48692;0.7593442760199489;-0.2252802744250768;4.829385931656489;-0.05331811199711856;-0.2830377138886234;-0.03933205654011303;
1513353110.49685;1513353110.49685;1513353110.496904;0.805567692382929;-0.2392794497411246;4.809309536967165;-0.05230471827912921;-0.2834310344540246;-0.03869092233138887;
1513353110.50676;1513353110.50676;1513353110.506825;0.851595679190953;-0.253230931060043;4.788700433886132;-0.05124159069447489;-0.2838179436773385;-0.03798692282996953;
1513353110.516764;1513353110.516764;1513353110.516801;0.8974233955834938;-0.2671323038288258;4.767621184025032;-0.05014726637983606;-0.2841978129056382;-0.03723695864211821;
1513353110.526741;1513353110.526741;1513353110.526805;0.9430465593600593;-0.2809814762692877;4.746128479107278;-0.04903575149460258;-0.2845701824920593;-0.03645451617709226;
1513353110.536766;1513353110.536766;1513353110.536825;0.9884614002836398;-0.2947766286206631;4.724273674173465;-0.04791757638461713;-0.2849347276538303;-0.03565034066722195;
1513353110.54677;1513353110.54677;1513353110.546835;1.033664616173323;-0.3085161721899449;4.702103265515324;-0.04680106089754398;-0.2852912310605025;-0.03483326834239189;
1513353110.556781;1513353110.556781;1513353110.556843;1.078653330535724;-0.3221987204140666;4.679659367215931;-0.04569148189307941;-0.2856395637439264;-0.03400971999597373;
1513353110.566756;1513353110.566756;1513353110.566818;1.123425057480632;-0.3358230522083064;4.656980082174035;-0.04459314872209137;-0.2859796609438862;-0.03318506309832864;
1513353110.576778;1513353110.576778;1513353110.57684;1.167977664779596;-0.3493880950144388;4.634099884920787;-0.04350918201452102;-0.2863115115748694;-0.03236351876509991;
1513353110.586863;1513353110.586863;1513353110.586926;1.21230934142933;-0.362892906181489;4.611049958350776;-0.04244180136671291;-0.2866351467625204;-0.03154838773038154;
1513353110.596784;1513353110.596784;1513353110.596848;1.256418567848498;-0.3763366574136985;4.58785849952704;-0.04139254120380816;-0.2869506306398242;-0.03074222913257713;
1513353110.606815;1513353110.606815;1513353110.60688;1.300304088571194;-0.3897186216309865;4.564550997826466;-0.04036242390164136;-0.28725805293115;-0.02994700962575358;
1513353110.616774;1513353110.616774;1513353110.616837;1.343964887258585;-0.40303816185133;4.541150488101843;-0.03935208237029953;-0.2875575230274076;-0.02916421716141064;
1513353110.626771;1513353110.626771;1513353110.626837;1.387400163903968;-0.4162947216213633;4.517677779605643;-0.03836186293652976;-0.2878491651990217;-0.02839495885482767;
1513353110.636832;1513353110.636832;1513353110.636895;1.430609314032823;-0.4294878168013845;4.494151664715346;-0.0373918980327045;-0.2881331147875699;-0.0276400361844554;
1513353110.646818;1513353110.646818;1513353110.646878;1.473591909771294;-0.44261702841265;4.470589108017507;-0.0364421639770338;-0.2884095151494145;-0.02690000733847768;
1513353110.656831;1513353110.656831;1513353110.656894;1.516347682622713;-0.4556819963912525;4.447005417708831;-0.03551252395855462;-0.2886785152227992;-0.02617523697555058;
1513353110.666777;1513353110.666777;1513353110.666828;1.55887650781277;-0.4686824140923292;4.423414401020492;-0.03460275965888863;-0.2889402675925548;-0.0254659358087405;
1513353110.676986;1513353110.676986;1513353110.677049;1.601178390072949;-0.4816180234192643;4.399828505638801;-0.03371259751735362;-0.2891949269506421;-0.02477219413529311;
1513353110.686975;1513353110.686975;1513353110.687029;1.64325345073555;-0.4944886105101789;4.376258947385749;-0.03284172587709349;-0.2894426488919951;-0.02409400717046624;
1513353110.696844;1513353110.696844;1513353110.696924;1.685101916028147;-0.5072940018750512;4.3527158261592;-0.0319898085109734;-0.2896835889636997;-0.02343129595275675;
1513353110.70683;1513353110.70683;1513353110.7069;1.726724106460289;-0.520034060930842;4.329208231309071;-0.03115649415385253;-0.2899179019232273;-0.02278392384379108;
1513353110.71681;1513353110.71681;1513353110.716875;1.768120427208459;-0.5327086848791448;4.305744336510415;-0.03034142466808727;-0.2901457411616652;-0.02215171054914322;
1513353110.726871;1513353110.726871;1513353110.726931;1.809291359399228;-0.545317801893722;4.282331486404193;-0.02954423970463886;-0.2903672582671566;-0.02153444250493249;
1513353110.736918;1513353110.736918;1513353110.736982;1.850237452218941;-0.5578613685696836;4.263132137022173;-0.02882136584689643;-0.290582602692206;-0.02096870912655806;
1513353110.747359;1513353110.747359;1513353110.747779;1.890998969438358;-0.5703518186358428;4.247741759034966;-0.02815552479359833;-0.2907922897834715;-0.02044531652555502;
1513353110.757541;1513353110.757541;1513353110.7576;1.931612333277142;-0.582800310761442;4.235796246227563;-0.02753354357045767;-0.2909967429487271;-0.0199567815698906;
