SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;velocity;
1513353110.714164;1513353110.714164;1513353110.714218;8.333333333333334;
1513353111.714222;1513353111.714222;1513353111.714293;8.333333333333334;
1513353112.714305;1513353112.714305;1513353112.714362;8.333333333333334;
1513353113.714305;1513353113.714305;1513353113.714344;8.333333333333334;
1513353114.714276;1513353114.714276;1513353114.714315;8.333333333333334;
1513353115.714167;1513353115.714167;1513353115.714221;8.333333333333334;
1513353116.714179;1513353116.714179;1513353116.714246;8.333333333333334;
1513353117.714163;1513353117.714163;1513353117.71421;8.333333333333334;
1513353118.714288;1513353118.714288;1513353118.714326;8.333333333333334;
1513353119.714182;1513353119.714182;1513353119.714245;8.333333333333334;
1513353120.714203;1513353120.714203;1513353120.714242;8.333333333333334;
