SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;groundSpeed;
1513353110.33692;1513353110.33692;1513353110.336966;5;
1513353110.346632;1513353110.346632;1513353110.346694;4.999485107856307;
1513353110.356841;1513353110.356841;1513353110.356905;4.998463417632562;
1513353110.366691;1513353110.366691;1513353110.366753;4.994981460961323;
1513353110.377251;1513353110.377251;1513353110.377288;4.989275347361088;
1513353110.38667;1513353110.38667;1513353110.386711;4.981560742791556;
1513353110.39663;1513353110.39663;1513353110.39669;4.972030972621829;
1513353110.406753;1513353110.406753;1513353110.406815;4.960864291667858;
1513353110.416843;1513353110.416843;1513353110.416906;4.948223370894719;
1513353110.427507;1513353110.427507;1513353110.427547;4.934256549608848;
1513353110.437437;1513353110.437437;1513353110.437498;4.919098982062772;
1513353110.446634;1513353110.446634;1513353110.446672;4.902873702726363;
1513353110.456664;1513353110.456664;1513353110.456723;4.885692622647818;
1513353110.46677;1513353110.46677;1513353110.466816;4.867657459491083;
1513353110.478294;1513353110.478294;1513353110.478352;4.848860605206755;
1513353110.486741;1513353110.486741;1513353110.486799;4.829385931656489;
1513353110.496723;1513353110.496723;1513353110.496781;4.809309536967165;
1513353110.506635;1513353110.506635;1513353110.506697;4.788700433886132;
1513353110.516666;1513353110.516666;1513353110.516704;4.767621184025032;
1513353110.526613;1513353110.526613;1513353110.526659;4.746128479107278;
1513353110.536625;1513353110.536625;1513353110.536685;4.724273674173465;
1513353110.546645;1513353110.546645;1513353110.546701;4.702103265515324;
1513353110.556639;1513353110.556639;1513353110.556702;4.679659367215931;
1513353110.566628;1513353110.566628;1513353110.566686;4.656980082174035;
1513353110.576643;1513353110.576643;1513353110.576699;4.634099884920787;
1513353110.586735;1513353110.586735;1513353110.586796;4.611049958350776;
1513353110.596654;1513353110.596654;1513353110.59672;4.58785849952704;
1513353110.60664;1513353110.60664;1513353110.606742;4.564550997826466;
1513353110.616645;1513353110.616645;1513353110.616702;4.541150488101843;
1513353110.626645;1513353110.626645;1513353110.626705;4.517677779605643;
1513353110.636705;1513353110.636705;1513353110.636765;4.494151664715346;
1513353110.646693;1513353110.646693;1513353110.646751;4.470589108017507;
1513353110.656645;1513353110.656645;1513353110.656763;4.447005417708831;
1513353110.666656;1513353110.666656;1513353110.666712;4.423414401020492;
1513353110.676717;1513353110.676717;1513353110.67678;4.399828505638801;
1513353110.686781;1513353110.686781;1513353110.686817;4.376258947385749;
1513353110.696677;1513353110.696677;1513353110.696735;4.3527158261592;
1513353110.70663;1513353110.70663;1513353110.706678;4.329208231309071;
1513353110.716672;1513353110.716672;1513353110.71671;4.305744336510415;
1513353110.726684;1513353110.726684;1513353110.726741;4.282331486404193;
1513353110.736748;1513353110.736748;1513353110.736811;4.263132137022173;
1513353110.747206;1513353110.747206;1513353110.747289;4.247741759034966;
1513353110.757381;1513353110.757381;1513353110.757443;4.235796246227563;
1513353110.766877;1513353110.766877;1513353110.766915;4.226965803236032;
1513353110.776913;1513353110.776913;1513353110.776979;4.220951713815523;
1513353110.787021;1513353110.787021;1513353110.787125;4.217483426796338;
1513353110.796702;1513353110.796702;1513353110.796764;4.216315891913646;
1513353110.806711;1513353110.806711;1513353110.806773;4.217227163106271;
1513353110.81663;1513353110.81663;1513353110.816693;4.220016221784072;
1513353110.826873;1513353110.826873;1513353110.826929;4.224501004947609;
1513353110.836655;1513353110.836655;1513353110.836716;4.230516618868002;
1513353110.846814;1513353110.846814;1513353110.846856;4.237913720384386;
1513353110.856708;1513353110.856708;1513353110.856769;4.246557051081095;
1513353110.866677;1513353110.866677;1513353110.866739;4.256324109157056;
1513353110.876765;1513353110.876765;1513353110.876838;4.26710394657748;
1513353110.886708;1513353110.886708;1513353110.88677;4.278796079645146;
1513353110.896863;1513353110.896863;1513353110.8969;4.291309502006128;
1513353110.906844;1513353110.906844;1513353110.90689;4.30456179108866;
1513353110.91688;1513353110.91688;1513353110.916942;4.318478298377505;
1513353110.926655;1513353110.926655;1513353110.927071;4.332991416484505;
1513353110.937204;1513353110.937204;1513353110.937278;4.348039915088124;
1513353110.946833;1513353110.946833;1513353110.946887;4.363568337667519;
1513353110.956645;1513353110.956645;1513353110.956705;4.379526462631146;
1513353110.966687;1513353110.966687;1513353110.96675;4.395868803568887;
1513353110.976676;1513353110.976676;1513353110.976923;4.412554163571374;
1513353110.986693;1513353110.986693;1513353110.986752;4.429545235270779;
1513353110.996652;1513353110.996652;1513353110.996715;4.446808229102396;
1513353111.006711;1513353111.006711;1513353111.006774;4.464312543154246;
1513353111.0167;1513353111.0167;1513353111.016737;4.482030462858778;
1513353111.026662;1513353111.026662;1513353111.026727;4.499936888573841;
1513353111.036679;1513353111.036679;1513353111.036738;4.51800908897664;
1513353111.046661;1513353111.046661;1513353111.046724;4.536226477811049;
1513353111.056696;1513353111.056696;1513353111.056964;4.554570411646321;
1513353111.066661;1513353111.066661;1513353111.06672;4.573024006548303;
1513353111.076777;1513353111.076777;1513353111.076828;4.591571972374537;
1513353111.086723;1513353111.086723;1513353111.086783;4.610200462323035;
1513353111.096702;1513353111.096702;1513353111.096763;4.628896936813233;
1513353111.106647;1513353111.106647;1513353111.10671;4.647650040506022;
1513353111.116642;1513353111.116642;1513353111.116693;4.666449490424617;
1513353111.12663;1513353111.12663;1513353111.126693;4.685285974908869;
1513353111.136829;1513353111.136829;1513353111.136882;4.704151062078255;
1513353111.146634;1513353111.146634;1513353111.146695;4.723037116972918;
1513353111.156669;1513353111.156669;1513353111.156728;4.741937226262284;
1513353111.166658;1513353111.166658;1513353111.166721;4.760845130486544;
1513353111.176639;1513353111.176639;1513353111.176675;4.779755162238462;
1513353111.186834;1513353111.186834;1513353111.186871;4.798662190408002;
1513353111.196666;1513353111.196666;1513353111.196727;4.817561569644256;
1513353111.206848;1513353111.206848;1513353111.206908;4.836449094170475;
1513353111.216838;1513353111.216838;1513353111.21689;4.855320957930808;
1513353111.227297;1513353111.227297;1513353111.227381;4.874173715154634;
1513353111.236668;1513353111.236668;1513353111.236899;4.893004246661146;
1513353111.246652;1513353111.246652;1513353111.246716;4.911809730472827;
1513353111.256847;1513353111.256847;1513353111.256911;4.930584975519637;
1513353111.266622;1513353111.266622;1513353111.266691;4.94932361054599;
1513353111.276642;1513353111.276642;1513353111.276702;4.968019913951006;
1513353111.286705;1513353111.286705;1513353111.286766;4.986668751563032;
1513353111.296635;1513353111.296635;1513353111.296699;5.005265520993034;
1513353111.30667;1513353111.30667;1513353111.306729;5.023806101313087;
1513353111.316717;1513353111.316717;1513353111.316758;5.042286807411044;
1513353111.326817;1513353111.326817;1513353111.326877;5.060704348908281;
1513353111.336704;1513353111.336704;1513353111.336768;5.079055792470712;
1513353111.346648;1513353111.346648;1513353111.346887;5.097338528126884;
1513353111.356667;1513353111.356667;1513353111.356731;5.115550238597376;
1513353111.366842;1513353111.366842;1513353111.366907;5.133688871333103;
1513353111.376839;1513353111.376839;1513353111.376877;5.151752613349696;
1513353111.386828;1513353111.386828;1513353111.386877;5.169739868578984;
1513353111.396642;1513353111.396642;1513353111.396702;5.187649237008412;
1513353111.406664;1513353111.406664;1513353111.406704;5.205479496025817;
1513353111.416631;1513353111.416631;1513353111.41669;5.223229583629738;
1513353111.426646;1513353111.426646;1513353111.426711;5.240898582842181;
1513353111.436663;1513353111.436663;1513353111.436722;5.25848570803746;
1513353111.446661;1513353111.446661;1513353111.446726;5.275990292088182;
1513353111.457468;1513353111.457468;1513353111.457531;5.293403003706918;
1513353111.467028;1513353111.467028;1513353111.467239;5.310733028581083;
1513353111.476986;1513353111.476986;1513353111.477536;5.32797990363694;
1513353111.486703;1513353111.486703;1513353111.486907;5.345143257868488;
1513353111.496649;1513353111.496649;1513353111.496713;5.362222798679032;
1513353111.506802;1513353111.506802;1513353111.506839;5.379218304275891;
1513353111.516772;1513353111.516772;1513353111.516831;5.396121098374572;
1513353111.526622;1513353111.526622;1513353111.526681;5.412940450997415;
1513353111.536705;1513353111.536705;1513353111.536766;5.429676228729824;
1513353111.546711;1513353111.546711;1513353111.546772;5.446328357801775;
1513353111.556655;1513353111.556655;1513353111.556721;5.462896813472178;
1513353111.566649;1513353111.566649;1513353111.566714;5.47938161524321;
1513353111.576654;1513353111.576654;1513353111.576715;5.495782822314897;
1513353111.5867;1513353111.5867;1513353111.586922;5.512100529851932;
1513353111.596764;1513353111.596764;1513353111.596826;5.528334865147043;
1513353111.606818;1513353111.606818;1513353111.606877;5.544485984644929;
1513353111.616858;1513353111.616858;1513353111.617286;5.560554070667817;
1513353111.627036;1513353111.627036;1513353111.627292;5.576539329064571;
1513353111.63664;1513353111.63664;1513353111.636704;5.5924419864989;
1513353111.646658;1513353111.646658;1513353111.646718;5.608262288485643;
1513353111.656646;1513353111.656646;1513353111.656708;5.624000497385056;
1513353111.666843;1513353111.666843;1513353111.666879;5.639656890478514;
1513353111.676634;1513353111.676634;1513353111.676698;5.655231758475112;
1513353111.686686;1513353111.686686;1513353111.68675;5.670725403929237;
1513353111.696774;1513353111.696774;1513353111.696812;5.686138140054829;
1513353111.706837;1513353111.706837;1513353111.706895;5.701470289300698;
1513353111.716643;1513353111.716643;1513353111.716822;5.716722182545056;
1513353111.726701;1513353111.726701;1513353111.726773;5.731894157893985;
1513353111.736686;1513353111.736686;1513353111.73675;5.746986559838371;
1513353111.746702;1513353111.746702;1513353111.746774;5.76199973837599;
1513353111.756728;1513353111.756728;1513353111.756793;5.776934048579096;
1513353111.76664;1513353111.76664;1513353111.766877;5.791789849609292;
1513353111.776687;1513353111.776687;1513353111.776855;5.806567504188479;
1513353111.786723;1513353111.786723;1513353111.786784;5.821267378276165;
1513353111.796907;1513353111.796907;1513353111.796969;5.835889840317294;
1513353111.806753;1513353111.806753;1513353111.806816;5.850435260876085;
1513353111.816708;1513353111.816708;1513353111.816769;5.864904012253521;
1513353111.826675;1513353111.826675;1513353111.826737;5.879296468277894;
1513353111.836749;1513353111.836749;1513353111.836786;5.89361300367426;
1513353111.846722;1513353111.846722;1513353111.846787;5.907853994093556;
1513353111.856766;1513353111.856766;1513353111.856805;5.922019815542526;
1513353111.866656;1513353111.866656;1513353111.86672;5.936110844347326;
1513353111.876661;1513353111.876661;1513353111.876723;5.950127457002083;
1513353111.886737;1513353111.886737;1513353111.886796;5.964070029674384;
1513353111.896643;1513353111.896643;1513353111.896868;5.977938938356926;
1513353111.90751;1513353111.90751;1513353111.907547;5.991734558526541;
1513353111.916774;1513353111.916774;1513353111.916812;6.005457265076524;
1513353111.926865;1513353111.926865;1513353111.926929;6.01910743215407;
1513353111.936678;1513353111.936678;1513353111.93674;6.032685433058974;
1513353111.946939;1513353111.946939;1513353111.947239;6.04619164002793;
1513353111.956666;1513353111.956666;1513353111.956728;6.059626424440251;
