SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;acceleration;steering;isValid;
1513353109.056972;1513353109.056972;1513353109.057014;-0.50125;-0.0218599;1;
1513353109.066899;1513353109.066899;1513353109.066937;-0.5025;-0.03246306;1;
1513353109.076881;1513353109.076881;1513353109.076919;-0.50375;-0.04285416;1;
1513353109.086914;1513353109.086914;1513353109.086957;-0.505;-0.05303743;1;
1513353109.096897;1513353109.096897;1513353109.096945;-0.50625;-0.06301703;1;
1513353109.106939;1513353109.106939;1513353109.106978;-0.5075;-0.07279705;1;
1513353109.116925;1513353109.116925;1513353109.116965;-0.50875;-0.08238146;1;
1513353109.126924;1513353109.126924;1513353109.126966;-0.51;-0.0917742;1;
1513353109.136917;1513353109.136917;1513353109.136958;-0.51125;-0.1009791;1;
1513353109.146908;1513353109.146908;1513353109.146949;-0.5125;-0.1099998;1;
1513353109.156997;1513353109.156997;1513353109.157038;-0.51375;-0.1188402;1;
1513353109.166958;1513353109.166958;1513353109.167;-0.515;-0.1275038;1;
1513353109.176928;1513353109.176928;1513353109.176971;-0.51625;-0.135994;1;
1513353109.186981;1513353109.186981;1513353109.187035;-0.5175;-0.1443145;1;
1513353109.196962;1513353109.196962;1513353109.197024;-0.51875;-0.1524686;1;
1513353109.206903;1513353109.206903;1513353109.206945;-0.52;-0.1604596;1;
1513353109.216972;1513353109.216972;1513353109.217027;-0.52125;-0.1682907;1;
1513353109.226907;1513353109.226907;1513353109.226963;-0.5225;-0.1759653;1;
1513353109.236917;1513353109.236917;1513353109.236961;-0.52375;-0.1834863;1;
1513353109.246919;1513353109.246919;1513353109.246961;-0.525;-0.1908569;1;
1513353109.256917;1513353109.256917;1513353109.256958;-0.52625;-0.1980802;1;
1513353109.267003;1513353109.267003;1513353109.267044;-0.5275;-0.2051589;1;
1513353109.276916;1513353109.276916;1513353109.276957;-0.52875;-0.2120961;1;
1513353109.28695;1513353109.28695;1513353109.286992;-0.53;-0.2188945;1;
1513353109.296931;1513353109.296931;1513353109.296987;-0.53125;-0.225557;1;
1513353109.306985;1513353109.306985;1513353109.307038;-0.5325;-0.2320862;1;
1513353109.316977;1513353109.316977;1513353109.317022;-0.53375;-0.2384848;1;
1513353109.326923;1513353109.326923;1513353109.326972;-0.535;-0.2447555;1;
